,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,<b>Raw:</b> @AmaAbigail2 I can be doing this fy yk!<br><b>Clean</b>: i can be doing this fy yk,informal-english,2022-12-12 09:34:07,Accra,@AmaAbigail2 I can be doing this fy yk!<br>,i can be doing this fy yk,en,en,en,en
1,<b>Raw:</b> @theMadridZone @NizaarKinsella Aahh is he a player at all tsoooooo<br><b>Clean</b>: aahh is he a player at all tsoooooo,informal-english,2022-12-12 09:34:37,Accra,@theMadridZone @NizaarKinsella Aahh is he a player at all tsoooooo<br>,aahh is he a player at all tsoooooo,en,en,en,en
2,<b>Raw:</b> JULY 10th be the ish🎊🎉🎂❤️<br><b>Clean</b>: july 10th be the ish,informal-english,2022-12-12 09:34:42,Accra,JULY 10th be the ish🎊🎉🎂❤️<br>,july 10th be the ish,la,en,en,en
3,<b>Raw:</b> Ei bro the guy root give ein boy<br><b>Clean</b>: ei bro the guy root give ein boy,informal-english,2022-12-12 09:34:46,Accra,Ei bro the guy root give ein boy<br>,ei bro the guy root give ein boy,en,en,en,en
4,<b>Raw:</b> @babydoll_forbes That's another convo trigger that puts dem phones back into these hands...hehehe<br><b>Clean</b>: thats another convo trigger that puts dem phones back into these hands hehehe,informal-english,2022-12-12 09:34:52,Accra,@babydoll_forbes That's another convo trigger that puts dem phones back into these hands...hehehe<br>,thats another convo trigger that puts dem phones back into these hands hehehe,en,en,en,en
5,<b>Raw:</b> Bro somebody is playing with Mbappe and Neymar and has 4 goals all season.<br><b>Clean</b>: bro somebody is playing with mbappe and neymar and has 4 goals all season,syntactic-english,2022-12-12 09:35:51,Accra,Bro somebody is playing with Mbappe and Neymar and has 4 goals all season.<br>,bro somebody is playing with mbappe and neymar and has 4 goals all season,en,en,en,en
6,<b>Raw:</b> @98jamezz @Nyamewaaaaa Na wonim aaa ni<br><b>Clean</b>: na wonim aaa ni,not-english,2022-12-12 09:36:05,Accra,@98jamezz @Nyamewaaaaa Na wonim aaa ni<br>,na wonim aaa ni,rw,en,so,so
7,<b>Raw:</b> @69Positionss @Tomm_ridle @KLizue @MRNAGWEAR I miss u bebree<br><b>Clean</b>: i miss u bebree,code-switched,2022-12-12 09:36:11,Accra,@69Positionss @Tomm_ridle @KLizue @MRNAGWEAR I miss u bebree<br>,i miss u bebree,hr,mt,en,no
8,<b>Raw:</b> @MilanoD3Blogger @SneakerNyame_ Thanks for post bro 🙏❤️<br><b>Clean</b>: thanks for post bro,non-syntactic-english,2022-12-12 09:36:20,Accra,@MilanoD3Blogger @SneakerNyame_ Thanks for post bro 🙏❤️<br>,thanks for post bro,no,en,no,en
9,<b>Raw:</b> OBO NO GO MINUS<br><b>Clean</b>: obo no go minus,incidental-english,2022-12-12 09:36:32,Accra,OBO NO GO MINUS<br>,obo no go minus,en,pt,pt,sl
