,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,<b>Raw:</b> @AngelicaLozanoC Amiguita ni a ti ni a tu esposa les creemos ya.<br><b>Clean</b>: amiguita ni a ti ni a tu esposa les creemos ya,not-english,2023-03-12 23:46:33,London,@AngelicaLozanoC Amiguita ni a ti ni a tu esposa les creemos ya.<br>,amiguita ni a ti ni a tu esposa les creemos ya,es,es,ca,ca
1,<b>Raw:</b> Bloody hell.  How good does Morten Harket look ????? https://t.co/MpaHAyzbe5<br><b>Clean</b>: bloody hell how good does morten harket look,informal-english,2023-03-12 23:47:07,London,Bloody hell.  How good does Morten Harket look ????? https://t.co/MpaHAyzbe5<br>,bloody hell how good does morten harket look,en,no,nl,af
2,<b>Raw:</b> Humana's acquisition of the operations of Assistans för dig approved by the Competition Authority - https://t.co/ML6LIreOGI<br><b>Clean</b>: humanas acquisition of the operations of assistans för dig approved by the competition authority,non-syntactic-english,2023-03-12 23:47:17,London,Humana's acquisition of the operations of Assistans för dig approved by the Competition Authority - https://t.co/ML6LIreOGI<br>,humanas acquisition of the operations of assistans för dig approved by the competition authority,en,en,en,en
3,<b>Raw:</b> Richard Foord is our Tiverton and Honiton by-election candidate https://t.co/c5VyLl7Ly3<br><b>Clean</b>: richard foord is our tiverton and honiton by election candidate,syntactic-english,2023-03-12 23:47:30,London,Richard Foord is our Tiverton and Honiton by-election candidate https://t.co/c5VyLl7Ly3<br>,richard foord is our tiverton and honiton by election candidate,en,en,en,en
4,<b>Raw:</b> Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off50.00% discountValid between 2021-07-26 and 2022-07-26More information - https://t.co/OzviBttL6Y #Travel #Travel_Deals #Holidays<br><b>Clean</b>: newchic brenice functional and stylish womens bags up to 50 off newchic brenice functional and stylish womens bags up to 50 off50 00 discountvalid between 2021 07 26 and 2022 07 26more information,non-syntactic-english,2023-03-12 23:47:35,London,Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off50.00% discountValid between 2021-07-26 and 2022-07-26More information - https://t.co/OzviBttL6Y #Travel #Travel_Deals #Holidays<br>,newchic brenice functional and stylish womens bags up to 50 off newchic brenice functional and stylish womens bags up to 50 off50 00 discountvalid between 2021 07 26 and 2022 07 26more information,en,en,en,en
5,<b>Raw:</b> @raycasey77 IPTV?? I’ll be sending lampard an invoice<br><b>Clean</b>: iptv ill be sending lampard an invoice,non-syntactic-english,2023-03-12 23:47:41,London,@raycasey77 IPTV?? I’ll be sending lampard an invoice<br>,iptv ill be sending lampard an invoice,en,en,en,en
6,"<b>Raw:</b> ""Broadband"" is a ‘catch-all’ term for #internet services that evolved after dial-up modems including: ADSL, FTTC, GFTTC, FTTP, SoGEA, EFM, EoFTTC and Fibre Ethernet. Learn more about the best #connectivity option for you https://t.co/2z1FbYpaz5 #UnifiedCommunications #HereToHelp https://t.co/tmDI51whGH<br><b>Clean</b>: broadband is a catch all term for services that evolved after dial up modems including adsl fttc gfttc fttp sogea efm eofttc and fibre ethernet learn more about the best option for you",syntactic-english,2023-03-12 23:47:51,London,"""Broadband"" is a ‘catch-all’ term for #internet services that evolved after dial-up modems including: ADSL, FTTC, GFTTC, FTTP, SoGEA, EFM, EoFTTC and Fibre Ethernet. Learn more about the best #connectivity option for you https://t.co/2z1FbYpaz5 #UnifiedCommunications #HereToHelp https://t.co/tmDI51whGH<br>",broadband is a catch all term for services that evolved after dial up modems including adsl fttc gfttc fttp sogea efm eofttc and fibre ethernet learn more about the best option for you,en,en,en,en
7,<b>Raw:</b> @MailOnline Vieira DEFENDS himself. Not even hiding the racism<br><b>Clean</b>: vieira defends himself not even hiding the racism,non-syntactic-english,2023-03-12 23:47:57,London,@MailOnline Vieira DEFENDS himself. Not even hiding the racism<br>,vieira defends himself not even hiding the racism,en,en,en,en
8,"<b>Raw:</b> @waqas_amjaad All happened whilst maryum was playing the aurat card
#امپورٹڈ_حکومت_نامنظور<br><b>Clean</b>: all happened whilst maryum was playing the aurat card",non-syntactic-english,2023-03-12 23:48:04,London,"@waqas_amjaad All happened whilst maryum was playing the aurat card
#امپورٹڈ_حکومت_نامنظور<br>",all happened whilst maryum was playing the aurat card,la,en,en,en
9,<b>Raw:</b> C’est à 2:41 pour vous éviter tout le malaise de la vidéo ⚰️<br><b>Clean</b>: cest à 241 pour vous éviter tout le malaise de la vidéo,not-english,2023-03-12 23:48:07,London,C’est à 2:41 pour vous éviter tout le malaise de la vidéo ⚰️<br>,cest à 241 pour vous éviter tout le malaise de la vidéo,fr,fr,fr,fr
