,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,<b>Raw:</b> Bakit parang Mucosolvan HCL ang vibe nito. https://t.co/UdKMnaKBdP<br><b>Clean</b>: bakit parang mucosolvan hcl ang vibe nito,not-english,2022-12-10 11:39:46,Manila,Bakit parang Mucosolvan HCL ang vibe nito. https://t.co/UdKMnaKBdP<br>,bakit parang mucosolvan hcl ang vibe nito,tl,tl,tl,tl
1,<b>Raw:</b> @jcael_abdns Weh? Na try mo na? Haha di ako naniniwala 😂<br><b>Clean</b>: weh na try mo na haha di ako naniniwala,not-english,2022-12-10 11:39:53,Manila,@jcael_abdns Weh? Na try mo na? Haha di ako naniniwala 😂<br>,weh na try mo na haha di ako naniniwala,it,it,sw,sw
2,"<b>Raw:</b> Hindi na tataas COVID cases sa Pinas,cutie! ✨✨✨<br><b>Clean</b>: hindi na tataas covid cases sa pinascutie",incidental-english,2022-12-10 11:39:59,Manila,"Hindi na tataas COVID cases sa Pinas,cutie! ✨✨✨<br>",hindi na tataas covid cases sa pinascutie,tl,tl,tl,it
3,<b>Raw:</b> Th gusto ko nalang maging hotdog sa ref🤦‍♀️<br><b>Clean</b>: th gusto ko nalang maging hotdog sa ref,incidental-english,2022-12-10 11:40:15,Manila,Th gusto ko nalang maging hotdog sa ref🤦‍♀️<br>,th gusto ko nalang maging hotdog sa ref,tl,tl,tl,tl
4,<b>Raw:</b> first ever concert ko na aattendan yung svt BeTS and feeling ko mattrauma ako dahil sa l1venat10n 😭 play fair jebal<br><b>Clean</b>: first ever concert ko na aattendan yung svt bets and feeling ko mattrauma ako dahil sa l1venat10n play fair jebal,code-switched,2022-12-10 11:42:33,Manila,first ever concert ko na aattendan yung svt BeTS and feeling ko mattrauma ako dahil sa l1venat10n 😭 play fair jebal<br>,first ever concert ko na aattendan yung svt bets and feeling ko mattrauma ako dahil sa l1venat10n play fair jebal,ms,en,sv,sv
5,"<b>Raw:</b> Missing the old times na nandyan yung Mama mo, na umaalalay sayo kapag pagod kana sa lahat. IMY Ma ❤️ see you sa next life. #mama<br><b>Clean</b>: missing the old times na nandyan yung mama mo na umaalalay sayo kapag pagod kana sa lahat imy ma see you sa next life",code-switched,2022-12-10 11:42:44,Manila,"Missing the old times na nandyan yung Mama mo, na umaalalay sayo kapag pagod kana sa lahat. IMY Ma ❤️ see you sa next life. #mama<br>",missing the old times na nandyan yung mama mo na umaalalay sayo kapag pagod kana sa lahat imy ma see you sa next life,tl,tl,tl,tl
6,<b>Raw:</b> @arviaann Barely surviving and living. Pagod na ako. Ubos na ako. nakakapagod lang na talaga.<br><b>Clean</b>: barely surviving and living pagod na ako ubos na ako nakakapagod lang na talaga,code-switched,2022-12-10 11:42:51,Manila,@arviaann Barely surviving and living. Pagod na ako. Ubos na ako. nakakapagod lang na talaga.<br>,barely surviving and living pagod na ako ubos na ako nakakapagod lang na talaga,tl,en,tl,tl
7,<b>Raw:</b> kakamiss din magturo hahahah for the retreat and field trip #tb https://t.co/iSR7MtbbqK<br><b>Clean</b>: kakamiss din magturo hahahah for the retreat and field trip,code-switched,2022-12-10 11:42:59,Manila,kakamiss din magturo hahahah for the retreat and field trip #tb https://t.co/iSR7MtbbqK<br>,kakamiss din magturo hahahah for the retreat and field trip,en,en,en,en
8,"<b>Raw:</b> Bare minimum na nga lang ang vaccination, tatanggalin pa? E di tanggalin na din qng mask kung ganyan na pala ang kalakaran e. https://t.co/Eb6xhoFZ0F<br><b>Clean</b>: bare minimum na nga lang ang vaccination tatanggalin pa e di tanggalin na din qng mask kung ganyan na pala ang kalakaran e",incidental-english,2022-12-10 11:43:10,Manila,"Bare minimum na nga lang ang vaccination, tatanggalin pa? E di tanggalin na din qng mask kung ganyan na pala ang kalakaran e. https://t.co/Eb6xhoFZ0F<br>",bare minimum na nga lang ang vaccination tatanggalin pa e di tanggalin na din qng mask kung ganyan na pala ang kalakaran e,tl,tl,tl,tl
9,<b>Raw:</b> LAST DAY!!!!!🎉🎉🎉🎉 TAPOS HALF DAY KO PA HAHAHAHAHA<br><b>Clean</b>: last day tapos half day ko pa hahahahaha,code-switched,2022-12-10 11:43:13,Manila,LAST DAY!!!!!🎉🎉🎉🎉 TAPOS HALF DAY KO PA HAHAHAHAHA<br>,last day tapos half day ko pa hahahahaha,am,tl,de,tl
