,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,"<b>Raw:</b> CA No -60003794223
Krishan Vihar Delhi 110086 MCD School Street... https://t.co/MUI5wADyOE<br><b>Clean</b>: ca no 60003794223 krishan vihar delhi 110086 mcd school street",informal-english,2022-12-10 13:46:53,New Delhi,"CA No -60003794223
Krishan Vihar Delhi 110086 MCD School Street... https://t.co/MUI5wADyOE<br>",ca no 60003794223 krishan vihar delhi 110086 mcd school street,ms,oc,de,nl
1,"<b>Raw:</b> @Virendrauptv 

Shri Hari 
Hari Aum
🙏 https://t.co/dnG558vuXg<br><b>Clean</b>: shri hari hari aum",not-english,2022-12-10 13:46:57,New Delhi,"@Virendrauptv 

Shri Hari 
Hari Aum
🙏 https://t.co/dnG558vuXg<br>",shri hari hari aum,lt,sw,sv,sw
2,<b>Raw:</b> @DhyeyMishra @Drs_Dilemma She was a GMCite😂<br><b>Clean</b>: she was a gmcite,informal-english,2022-12-10 13:47:00,New Delhi,@DhyeyMishra @Drs_Dilemma She was a GMCite😂<br>,she was a gmcite,en,en,en,en
3,"<b>Raw:</b> D.R.E.A.M.S....
||OM NAMAH SHIVAYA|| https://t.co/BU3qkLpVLS<br><b>Clean</b>: d r e a m s om namah shivaya",informal-english,2022-12-10 13:47:09,New Delhi,"D.R.E.A.M.S....
||OM NAMAH SHIVAYA|| https://t.co/BU3qkLpVLS<br>",d r e a m s om namah shivaya,en,an,en,en
4,"<b>Raw:</b> Literally, Steve's a keeper

#StrangerThings https://t.co/C9zw2ziv4D<br><b>Clean</b>: literally steves a keeper",non-syntactic-english,2022-12-10 13:47:17,New Delhi,"Literally, Steve's a keeper

#StrangerThings https://t.co/C9zw2ziv4D<br>",literally steves a keeper,en,en,en,en
5,<b>Raw:</b> @vinodkapri @narendramodi Targeted Hindus by Congis<br><b>Clean</b>: targeted hindus by congis,informal-english,2022-12-10 13:47:22,New Delhi,@vinodkapri @narendramodi Targeted Hindus by Congis<br>,targeted hindus by congis,en,en,no,en
6,<b>Raw:</b> Axar patel you beauty🔥🔥🔥🔥<br><b>Clean</b>: axar patel you beauty,non-syntactic-english,2022-12-10 13:47:31,New Delhi,Axar patel you beauty🔥🔥🔥🔥<br>,axar patel you beauty,sv,de,id,fr
7,<b>Raw:</b> @LostEdenNFT marked for wl consideration.<br><b>Clean</b>: marked for wl consideration,informal-english,2022-12-10 13:47:54,New Delhi,@LostEdenNFT marked for wl consideration.<br>,marked for wl consideration,en,en,en,en
8,<b>Raw:</b> Powe cut naipura electricity board (Loni) ... morning 3:30 ...why many times power cut this department.   @pvvnlghaziabad @MdPvvnl @AE_CCC_PVVNL @UPPCLLKO @EMofficeUP @Pawanjha1996<br><b>Clean</b>: powe cut naipura electricity board loni morning 330 why many times power cut this department,code-switched,2022-12-10 13:48:00,New Delhi,Powe cut naipura electricity board (Loni) ... morning 3:30 ...why many times power cut this department.   @pvvnlghaziabad @MdPvvnl @AE_CCC_PVVNL @UPPCLLKO @EMofficeUP @Pawanjha1996<br>,powe cut naipura electricity board loni morning 330 why many times power cut this department,en,en,en,en
9,"<b>Raw:</b> @nyetsott Alhamdulillah, remember us too in ur Dua.<br><b>Clean</b>: alhamdulillah remember us too in ur dua",code-switched,2022-12-10 13:48:06,New Delhi,"@nyetsott Alhamdulillah, remember us too in ur Dua.<br>",alhamdulillah remember us too in ur dua,en,en,id,id
10,"<b>Raw:</b> Waheguru ji ka khalsa
Waheguru ji ki fatah !!

#darshan #darbarsahib #amritsar https://t.co/0n49jGy2b1<br><b>Clean</b>: waheguru ji ka khalsa waheguru ji ki fatah",not-english,2022-12-10 13:48:11,New Delhi,"Waheguru ji ka khalsa
Waheguru ji ki fatah !!

#darshan #darbarsahib #amritsar https://t.co/0n49jGy2b1<br>",waheguru ji ka khalsa waheguru ji ki fatah,ms,sw,so,sw
11,"<b>Raw:</b> ®Daniel Electric @ Noida Extension, Greater Noida West https://t.co/YZvN5CPecO<br><b>Clean</b>: daniel electric noida extension greater noida west",informal-english,2022-12-10 13:48:34,New Delhi,"®Daniel Electric @ Noida Extension, Greater Noida West https://t.co/YZvN5CPecO<br>",daniel electric noida extension greater noida west,eo,es,en,es
12,<b>Raw:</b> @Avenika7575 Good morning 🌅 avenika ji kaise hai app<br><b>Clean</b>: good morning avenika ji kaise hai app,code-switched,2022-12-10 13:48:40,New Delhi,@Avenika7575 Good morning 🌅 avenika ji kaise hai app<br>,good morning avenika ji kaise hai app,sw,sw,hr,hr
13,"<b>Raw:</b> La gouvernance mondiale est de la plus haute importance. Nous devons penser comme Un et non comme différents pays, nationalités ou sociétés…

https://t.co/oSWKkmAnhg https://t.co/OHR4Lvb8Ul<br><b>Clean</b>: la gouvernance mondiale est de la plus haute importance nous devons penser comme un et non comme différents pays nationalités ou sociétés",incidental-english,2022-12-10 13:48:44,New Delhi,"La gouvernance mondiale est de la plus haute importance. Nous devons penser comme Un et non comme différents pays, nationalités ou sociétés…

https://t.co/oSWKkmAnhg https://t.co/OHR4Lvb8Ul<br>",la gouvernance mondiale est de la plus haute importance nous devons penser comme un et non comme différents pays nationalités ou sociétés,fr,fr,fr,fr
14,<b>Raw:</b> @Swatisahu08 Ab to nahi ho rahi hai na 🙄😂<br><b>Clean</b>: ab to nahi ho rahi hai na,not-english,2022-12-10 13:48:47,New Delhi,@Swatisahu08 Ab to nahi ho rahi hai na 🙄😂<br>,ab to nahi ho rahi hai na,sw,sw,sw,so
15,"<b>Raw:</b> About to turn 22 and now I understand the actual meaning of @asliyoyo songs 
Wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane! 

#hangover #chaarbottlevodka #yoyo #yoyohoneysingh https://t.co/XUOrX0EORy<br><b>Clean</b>: about to turn 22 and now i understand the actual meaning of songs wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane",code-switched,2022-12-10 13:48:54,New Delhi,"About to turn 22 and now I understand the actual meaning of @asliyoyo songs 
Wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane! 

#hangover #chaarbottlevodka #yoyo #yoyohoneysingh https://t.co/XUOrX0EORy<br>",about to turn 22 and now i understand the actual meaning of songs wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane,en,en,en,en
16,<b>Raw:</b> @ianuragbisht Sushant day under Plug 19<br><b>Clean</b>: sushant day under plug 19,informal-english,2022-12-10 13:49:03,New Delhi,@ianuragbisht Sushant day under Plug 19<br>,sushant day under plug 19,de,fr,de,en
17,<b>Raw:</b> @iambellahazel1 Aaj mein shant tha 🤭🤭🤭🤣🤣🤣🤣🤣🤣<br><b>Clean</b>: aaj mein shant tha,not-english,2022-12-10 13:49:06,New Delhi,@iambellahazel1 Aaj mein shant tha 🤭🤭🤭🤣🤣🤣🤣🤣🤣<br>,aaj mein shant tha,mr,en,sq,sq
18,<b>Raw:</b> Public winner Umar Riaz<br><b>Clean</b>: public winner umar riaz,non-syntactic-english,2022-12-10 13:49:11,New Delhi,Public winner Umar Riaz<br>,public winner umar riaz,en,pt,de,en
19,<b>Raw:</b> @MrBeeKay Time now 4:50 am and temp 32° mariha a betere ho feta this<br><b>Clean</b>: time now 450 am and temp 32 mariha a betere ho feta this,code-switched,2022-12-10 13:49:17,New Delhi,@MrBeeKay Time now 4:50 am and temp 32° mariha a betere ho feta this<br>,time now 450 am and temp 32 mariha a betere ho feta this,en,en,en,en
20,"<b>Raw:</b> Mohabbat to naam hi intezaar ka hai,Phir chahe wo Allah ke Kun ka hi kyu na hoo💫🤍<br><b>Clean</b>: mohabbat to naam hi intezaar ka haiphir chahe wo allah ke kun ka hi kyu na hoo",not-english,2022-12-10 13:49:20,New Delhi,"Mohabbat to naam hi intezaar ka hai,Phir chahe wo Allah ke Kun ka hi kyu na hoo💫🤍<br>",mohabbat to naam hi intezaar ka haiphir chahe wo allah ke kun ka hi kyu na hoo,sw,ms,sw,so
21,"<b>Raw:</b> @MajorPoonia Boycott them, Boycottproducts endorsed by them,till they take financial hit they won't understand pause ke yaar hai characterthodi hai .fir first Lal Singh Chadda<br><b>Clean</b>: boycott them boycottproducts endorsed by themtill they take financial hit they wont understand pause ke yaar hai characterthodi hai fir first lal singh chadda",code-switched,2022-12-10 13:49:37,New Delhi,"@MajorPoonia Boycott them, Boycottproducts endorsed by them,till they take financial hit they won't understand pause ke yaar hai characterthodi hai .fir first Lal Singh Chadda<br>",boycott them boycottproducts endorsed by themtill they take financial hit they wont understand pause ke yaar hai characterthodi hai fir first lal singh chadda,en,en,en,en
22,<b>Raw:</b> @Mohsina32338857 @kareeshma_kpr2 Good joke mohsina. hahaha<br><b>Clean</b>: good joke mohsina hahaha,informal-english,2022-12-10 13:49:40,New Delhi,@Mohsina32338857 @kareeshma_kpr2 Good joke mohsina. hahaha<br>,good joke mohsina hahaha,fi,fi,so,so
23,<b>Raw:</b> @ranvijaylive Aur 15 lakh kb milega?? 😀<br><b>Clean</b>: aur 15 lakh kb milega,not-english,2022-12-10 13:49:43,New Delhi,@ranvijaylive Aur 15 lakh kb milega?? 😀<br>,aur 15 lakh kb milega,nl,en,sl,id
24,"<b>Raw:</b> 1. Jai shree Radhe Rani Radhe Rani Radhe Rani.

I believe in order to understand. https://t.co/MyBopujKWH<br><b>Clean</b>: 1 jai shree radhe rani radhe rani radhe rani i believe in order to understand",code-switched,2022-12-10 13:49:50,New Delhi,"1. Jai shree Radhe Rani Radhe Rani Radhe Rani.

I believe in order to understand. https://t.co/MyBopujKWH<br>",1 jai shree radhe rani radhe rani radhe rani i believe in order to understand,en,en,de,sq
25,<b>Raw:</b> @toobemiofficial I have deposit 270 trx but trx amount not credit my toobemi account<br><b>Clean</b>: i have deposit 270 trx but trx amount not credit my toobemi account,informal-english,2022-12-10 13:49:57,New Delhi,@toobemiofficial I have deposit 270 trx but trx amount not credit my toobemi account<br>,i have deposit 270 trx but trx amount not credit my toobemi account,en,en,en,en
26,"<b>Raw:</b> @Bittub933430 @ArpitBnsl @Suhelseth Theek hai, deal
Bas ek baar is dokhle ko dafa karo india se.
Fir Italy ko bhagate hain<br><b>Clean</b>: theek hai deal bas ek baar is dokhle ko dafa karo india se fir italy ko bhagate hain",incidental-english,2022-12-10 13:50:06,New Delhi,"@Bittub933430 @ArpitBnsl @Suhelseth Theek hai, deal
Bas ek baar is dokhle ko dafa karo india se.
Fir Italy ko bhagate hain<br>",theek hai deal bas ek baar is dokhle ko dafa karo india se fir italy ko bhagate hain,en,eo,id,af
