,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,<b>Raw:</b> 没事不要换passport！Long Q like vaccination center… 25-05-2022 #cstar @ Jabatan Imigresen Malaysia Utc Johor https://t.co/hQ1nO269PY<br><b>Clean</b>: passportlong q like vaccination center 25 05 2022 jabatan imigresen malaysia utc johor,informal-english,2022-11-18 13:21:09,Singapore,没事不要换passport！Long Q like vaccination center… 25-05-2022 #cstar @ Jabatan Imigresen Malaysia Utc Johor https://t.co/hQ1nO269PY<br>,passportlong q like vaccination center 25 05 2022 jabatan imigresen malaysia utc johor,zh,ht,en,ca
1,"<b>Raw:</b> Lepas 4 hr vacay, rasa janggal ye hr ni nak berkerja semula 🤣<br><b>Clean</b>: lepas 4 hr vacay rasa janggal ye hr ni nak berkerja semula",not-english,2022-11-18 13:21:18,Singapore,"Lepas 4 hr vacay, rasa janggal ye hr ni nak berkerja semula 🤣<br>",lepas 4 hr vacay rasa janggal ye hr ni nak berkerja semula,ms,ms,id,id
2,"<b>Raw:</b> Nasasabik kaming makilala ka! David and @Alfredsunn will be seeing you FACE-TO-FACE in Philippines this coming August 2022 at the Raikan Fancon! 

@RaikantopeniPHL 
#RaikanFanConGameOn https://t.co/dEVjgcdIw4<br><b>Clean</b>: nasasabik kaming makilala ka david and will be seeing you face to face in philippines this coming august 2022 at the raikan fancon",code-switched,2022-11-18 13:21:25,Singapore,"Nasasabik kaming makilala ka! David and @Alfredsunn will be seeing you FACE-TO-FACE in Philippines this coming August 2022 at the Raikan Fancon! 

@RaikantopeniPHL 
#RaikanFanConGameOn https://t.co/dEVjgcdIw4<br>",nasasabik kaming makilala ka david and will be seeing you face to face in philippines this coming august 2022 at the raikan fancon,en,en,tl,en
3,"<b>Raw:</b> Hahah american/indian warrior/hunter means. Pains shape me to be a warrior/hunter
Peony flowers sa taas. For the love of nature.🤩🤗 
Pa book naman ta. Idol ning artist ko.buot na,humble pa. https://t.co/SK2F2JIQOR<br><b>Clean</b>: hahah americanindian warriorhunter means pains shape me to be a warriorhunter peony flowers sa taas for the love of nature pa book naman ta idol ning artist ko buot nahumble pa",code-switched,2022-11-18 13:21:51,Singapore,"Hahah american/indian warrior/hunter means. Pains shape me to be a warrior/hunter
Peony flowers sa taas. For the love of nature.🤩🤗 
Pa book naman ta. Idol ning artist ko.buot na,humble pa. https://t.co/SK2F2JIQOR<br>",hahah americanindian warriorhunter means pains shape me to be a warriorhunter peony flowers sa taas for the love of nature pa book naman ta idol ning artist ko buot nahumble pa,en,en,en,en
4,"<b>Raw:</b> @dhiasyaf_ @Ashsukamakan Boleh cuba Samsung S21 Ultra, sample moon shot  100x zoom ada di media saya ✌️. Sangat2 puas hati sumpah x tipu<br><b>Clean</b>: boleh cuba samsung s21 ultra sample moon shot 100x zoom ada di media saya sangat2 puas hati sumpah x tipu",incidental-english,2022-11-18 13:22:09,Singapore,"@dhiasyaf_ @Ashsukamakan Boleh cuba Samsung S21 Ultra, sample moon shot  100x zoom ada di media saya ✌️. Sangat2 puas hati sumpah x tipu<br>",boleh cuba samsung s21 ultra sample moon shot 100x zoom ada di media saya sangat2 puas hati sumpah x tipu,ms,ms,id,id
5,<b>Raw:</b> Di ko ya mag jowa for a clout. Katalaka puro jowa2<br><b>Clean</b>: di ko ya mag jowa for a clout katalaka puro jowa2,not-english,2022-11-18 13:22:12,Singapore,Di ko ya mag jowa for a clout. Katalaka puro jowa2<br>,di ko ya mag jowa for a clout katalaka puro jowa2,sw,sw,sw,sw
6,<b>Raw:</b> Kwarta lang man gali problema.. Hahah mole removal pa gani. Daw nag limpyo man ang guya ko hahaha<br><b>Clean</b>: kwarta lang man gali problema hahah mole removal pa gani daw nag limpyo man ang guya ko hahaha,not-english,2022-11-18 13:22:16,Singapore,Kwarta lang man gali problema.. Hahah mole removal pa gani. Daw nag limpyo man ang guya ko hahaha<br>,kwarta lang man gali problema hahah mole removal pa gani daw nag limpyo man ang guya ko hahaha,tl,tl,tl,tl
7,"<b>Raw:</b> @Sarcasm81147883 @TheScienceRiot @McGregorRousey @Canelo If you're trying to convince me of Khabib's popularity in a pre-Conor era, you're just plain delusional.<br><b>Clean</b>: if youre trying to convince me of khabibs popularity in a pre conor era youre just plain delusional",informal-english,2022-11-18 13:22:26,Singapore,"@Sarcasm81147883 @TheScienceRiot @McGregorRousey @Canelo If you're trying to convince me of Khabib's popularity in a pre-Conor era, you're just plain delusional.<br>",if youre trying to convince me of khabibs popularity in a pre conor era youre just plain delusional,en,en,en,en
8,"<b>Raw:</b> @HappyDogSmiling Je sais pas, mais je reste que 3 mois et j'ai une assurance maladie<br><b>Clean</b>: je sais pas mais je reste que 3 mois et jai une assurance maladie",not-english,2022-11-18 13:22:29,Singapore,"@HappyDogSmiling Je sais pas, mais je reste que 3 mois et j'ai une assurance maladie<br>",je sais pas mais je reste que 3 mois et jai une assurance maladie,fr,fr,fr,fr
9,<b>Raw:</b> Bercakap itu adalah satu doa. This places i wish to go. I never stop asking for it. Let divine provisions and time determine everything. InshaAllah. Amin amin ya rabbal al’aminn<br><b>Clean</b>: bercakap itu adalah satu doa this places i wish to go i never stop asking for it let divine provisions and time determine everything inshaallah amin amin ya rabbal alaminn,code-switched,2022-11-18 13:22:42,Singapore,Bercakap itu adalah satu doa. This places i wish to go. I never stop asking for it. Let divine provisions and time determine everything. InshaAllah. Amin amin ya rabbal al’aminn<br>,bercakap itu adalah satu doa this places i wish to go i never stop asking for it let divine provisions and time determine everything inshaallah amin amin ya rabbal alaminn,en,en,en,en
10,"<b>Raw:</b> @Deathrocker76 @PatsKarvelas Wrong. Singapore does approx 4,500 PCR/day and 24,000 ART/day. NSW alone does 28,000 PCR/day on average last 7 days<br><b>Clean</b>: wrong singapore does approx 4500 pcrday and 24000 artday nsw alone does 28000 pcrday on average last 7 days",informal-english,2022-11-18 13:22:49,Singapore,"@Deathrocker76 @PatsKarvelas Wrong. Singapore does approx 4,500 PCR/day and 24,000 ART/day. NSW alone does 28,000 PCR/day on average last 7 days<br>",wrong singapore does approx 4500 pcrday and 24000 artday nsw alone does 28000 pcrday on average last 7 days,en,en,en,en
11,<b>Raw:</b> La façon dont la go l’a regardé ? Elle était en mode « il se relève à quel moment ? » 💀<br><b>Clean</b>: la façon dont la go la regardé elle était en mode il se relève à quel moment,not-english,2022-11-18 13:23:24,Singapore,La façon dont la go l’a regardé ? Elle était en mode « il se relève à quel moment ? » 💀<br>,la façon dont la go la regardé elle était en mode il se relève à quel moment,fr,fr,fr,fr
