,annotate_text,label,annotated_at,geo_tag
0,<b>Raw:</b> @AmaAbigail2 I can be doing this fy yk!<br><b>Clean</b>: i can be doing this fy yk,informal-english,2022-12-12 09:34:07,Accra
1,<b>Raw:</b> @theMadridZone @NizaarKinsella Aahh is he a player at all tsoooooo<br><b>Clean</b>: aahh is he a player at all tsoooooo,informal-english,2022-12-12 09:34:37,Accra
2,<b>Raw:</b> JULY 10th be the ish🎊🎉🎂❤️<br><b>Clean</b>: july 10th be the ish,informal-english,2022-12-12 09:34:42,Accra
3,<b>Raw:</b> Ei bro the guy root give ein boy<br><b>Clean</b>: ei bro the guy root give ein boy,informal-english,2022-12-12 09:34:46,Accra
4,<b>Raw:</b> @babydoll_forbes That's another convo trigger that puts dem phones back into these hands...hehehe<br><b>Clean</b>: thats another convo trigger that puts dem phones back into these hands hehehe,informal-english,2022-12-12 09:34:52,Accra
5,<b>Raw:</b> Bro somebody is playing with Mbappe and Neymar and has 4 goals all season.<br><b>Clean</b>: bro somebody is playing with mbappe and neymar and has 4 goals all season,syntactic-english,2022-12-12 09:35:51,Accra
6,<b>Raw:</b> @98jamezz @Nyamewaaaaa Na wonim aaa ni<br><b>Clean</b>: na wonim aaa ni,not-english,2022-12-12 09:36:05,Accra
7,<b>Raw:</b> @69Positionss @Tomm_ridle @KLizue @MRNAGWEAR I miss u bebree<br><b>Clean</b>: i miss u bebree,code-switched,2022-12-12 09:36:11,Accra
8,<b>Raw:</b> @MilanoD3Blogger @SneakerNyame_ Thanks for post bro 🙏❤️<br><b>Clean</b>: thanks for post bro,non-syntactic-english,2022-12-12 09:36:20,Accra
9,<b>Raw:</b> OBO NO GO MINUS<br><b>Clean</b>: obo no go minus,incidental-english,2022-12-12 09:36:32,Accra
10,"<b>Raw:</b> Alhaji ba nantwie wo fie, ne papa wo nantwie wo fie 🎶<br><b>Clean</b>: alhaji ba nantwie wo fie ne papa wo nantwie wo fie",not-english,2022-12-12 09:36:42,Accra
11,<b>Raw:</b> Don't burden anyone's daughter.<br><b>Clean</b>: dont burden anyones daughter,syntactic-english,2022-12-12 09:37:40,Accra
12,<b>Raw:</b> @_aakolly you fool keke 😂😂😂  you for continue the Naija pidgin<br><b>Clean</b>: you fool keke you for continue the naija pidgin,informal-english,2022-12-12 09:37:50,Accra
13,<b>Raw:</b> @DrKevWoodz For real bro cc @kaphuyi<br><b>Clean</b>: for real bro cc,non-syntactic-english,2022-12-12 09:38:08,Accra
14,<b>Raw:</b> @AsabereRoland 🤣🤣dansoman be accra DC<br><b>Clean</b>: dansoman be accra dc,informal-english,2022-12-12 09:38:18,Accra
15,<b>Raw:</b> Buh chale the inter Milan goal dey bee oo<br><b>Clean</b>: buh chale the inter milan goal dey bee oo,informal-english,2022-12-12 09:38:24,Accra
16,<b>Raw:</b> So this explosion dier no pastor see am? Nyame bɛtua mo ka paa mo<br><b>Clean</b>: so this explosion dier no pastor see am nyame btua mo ka paa mo,code-switched,2022-12-12 09:38:41,Accra
17,<b>Raw:</b> Let me watch Eternals<br><b>Clean</b>: let me watch eternals,syntactic-english,2022-12-12 09:38:49,Accra
18,"<b>Raw:</b> do your thang lil mama 
do your thang 
🔂<br><b>Clean</b>: do your thang lil mama do your thang",informal-english,2022-12-12 09:38:54,Accra
19,<b>Raw:</b> @jeremyb___ You dey taya me🤣🤣🤣<br><b>Clean</b>: you dey taya me,informal-english,2022-12-12 09:39:05,Accra
20,<b>Raw:</b> @ghanayesu_ Your face like zorzor 😂<br><b>Clean</b>: your face like zorzor,code-switched,2022-12-12 09:39:14,Accra
21,<b>Raw:</b> Focalis where you dy?<br><b>Clean</b>: focalis where you dy,informal-english,2022-12-12 09:39:25,Accra
22,<b>Raw:</b> @Founda__ Abi u shy? U know coaching pass Anchelotti?<br><b>Clean</b>: abi u shy u know coaching pass anchelotti,informal-english,2022-12-12 09:39:30,Accra
23,<b>Raw:</b> @Edwin_Odoi Ah she be kayayo?<br><b>Clean</b>: ah she be kayayo,code-switched,2022-12-12 09:39:35,Accra
24,<b>Raw:</b> @akweci_dherrick @lydiaforson Yhh made a point<br><b>Clean</b>: yhh made a point,informal-english,2022-12-12 09:39:40,Accra
25,<b>Raw:</b> @QABoahene @edudzi_ Nice cool greys bro<br><b>Clean</b>: nice cool greys bro,informal-english,2022-12-12 09:39:54,Accra
26,<b>Raw:</b> @ElizhaOfficial @_Compton101 @1_cabilla @okt_ranking30 @Aluta_shaban94 @TeamElizha Screensaver of the year. ❤️🔥<br><b>Clean</b>: screensaver of the year,non-syntactic-english,2022-12-12 09:40:08,Accra
27,<b>Raw:</b> 😂😂😂😂😂😂 Karmah dey kill me 😂😂😂<br><b>Clean</b>: karmah dey kill me,informal-english,2022-12-12 09:41:34,Accra
28,<b>Raw:</b> I need jollof now 😔😔😔<br><b>Clean</b>: i need jollof now,syntactic-english,2022-12-12 09:41:39,Accra
29,<b>Raw:</b> @hex_two @hxmza27 @RalfBall_ @ManUnitedZone_ Saw it too Juventus<br><b>Clean</b>: saw it too juventus,non-syntactic-english,2022-12-12 09:41:52,Accra
30,<b>Raw:</b> @justmagnus_ @i____virgo Yh am fine you 🥰<br><b>Clean</b>: yh am fine you,non-syntactic-english,2022-12-12 09:42:15,Accra
31,<b>Raw:</b> @UberFacts Mufasa be chasing after Simba all the damn time 🤦🏾‍♂️<br><b>Clean</b>: mufasa be chasing after simba all the damn time,non-syntactic-english,2022-12-12 09:42:25,Accra
32,"<b>Raw:</b> @Dennis_fairboi Nope, peace is overrated.<br><b>Clean</b>: nope peace is overrated",syntactic-english,2022-12-12 09:42:47,Accra
33,<b>Raw:</b> French Montana listen to Doyin with your accent bro  #BBNaija<br><b>Clean</b>: french montana listen to doyin with your accent bro,syntactic-english,2022-12-12 09:42:58,Accra
34,<b>Raw:</b> @aboagyewaa__ Something you're capable of<br><b>Clean</b>: something youre capable of,non-syntactic-english,2022-12-12 09:43:17,Accra
35,<b>Raw:</b> @bizzlekay @EhuOfficial Oh im okay ei<br><b>Clean</b>: oh im okay ei,informal-english,2022-12-12 09:43:21,Accra
36,<b>Raw:</b> @homebargains Wat do u guys take us 4? U make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcation😥waste our tym 2 fill in 2 details evry part of ur aplcation questn😢n later tell de persn they don't meet eligibility😭wat is dat? R u only tryn to make fun of us😭<br><b>Clean</b>: wat do u guys take us 4 u make us waste our tym and crte acnt on ur plt4m in other 2 access ur emplymnt aplcationwaste our tym 2 fill in 2 details evry part of ur aplcation questnn later tell de persn they dont meet eligibilitywat is dat r u only tryn to make fun of us,informal-english,2022-12-12 09:43:33,Accra
37,<b>Raw:</b> @WhoIsDeydzi @afrotaku__ I do o. Cydm<br><b>Clean</b>: i do o cydm,informal-english,2022-12-12 09:43:42,Accra
38,"<b>Raw:</b> @IlaBappa Physics-defying badassery 😂
Sure it never happened.<br><b>Clean</b>: physics defying badassery sure it never happened",informal-english,2022-12-12 09:43:59,Accra
39,<b>Raw:</b> She smells great 😍 &gt;&gt;&gt;&gt;&gt;&gt;<br><b>Clean</b>: she smells great gtgtgtgtgtgt,syntactic-english,2022-12-12 09:44:13,Accra
40,<b>Raw:</b> @Anita__Akuffo Hmmm Sister Anita nie 😂😂😂😅🤭💔<br><b>Clean</b>: hmmm sister anita nie,code-switched,2022-12-12 09:44:18,Accra
41,<b>Raw:</b> @asi_renie I got u Asi💐<br><b>Clean</b>: i got u asi,informal-english,2022-12-12 09:44:40,Accra
42,<b>Raw:</b> I ll send the mixtape to the IGP himself…..inshallah<br><b>Clean</b>: i ll send the mixtape to the igp himself inshallah,non-syntactic-english,2022-12-12 09:44:48,Accra
43,"<b>Raw:</b> By now, that useless Abronye DC is having properties in Sunyani. NPP Never again.<br><b>Clean</b>: by now that useless abronye dc is having properties in sunyani npp never again",non-syntactic-english,2022-12-12 09:45:22,Accra
44,<b>Raw:</b> @adabs_creecy @_Stevemensa @_leghacy Hmm me? Hmm mati<br><b>Clean</b>: hmm me hmm mati,code-switched,2022-12-12 09:45:29,Accra
45,<b>Raw:</b> @_Abdulkarim_10 @AnnanPerry NPP lost one MP. Hon. Ebenezer Kumi or so<br><b>Clean</b>: npp lost one mp hon ebenezer kumi or so,syntactic-english,2022-12-12 09:45:40,Accra
46,<b>Raw:</b> @gyaigyimii Waaake up.. Ma gee😂😂<br><b>Clean</b>: waaake up ma gee,informal-english,2022-12-12 09:45:47,Accra
47,<b>Raw:</b> Ei this man paa. What does he mean?<br><b>Clean</b>: ei this man paa what does he mean,code-switched,2022-12-12 09:46:02,Accra
48,"<b>Raw:</b> @Mr_Sesah I'm recommending @NanaBoakye__ for you. Infact, Nana Boakye Yiadom Dankwa Ababio is a true replica of you Mr. President.<br><b>Clean</b>: im recommending for you infact nana boakye yiadom dankwa ababio is a true replica of you mr president",syntactic-english,2022-12-12 09:46:11,Accra
49,<b>Raw:</b> @TurksonSA @kdannso Herh I tear o🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣<br><b>Clean</b>: herh i tear o,code-switched,2022-12-12 09:46:22,Accra
50,"<b>Raw:</b> @Muftawu_Nabila Bcus his elder bro is not part and i,Ghana 🇬🇭 don't care<br><b>Clean</b>: bcus his elder bro is not part and ighana dont care",informal-english,2022-12-12 09:46:26,Accra
51,<b>Raw:</b> @richie_alone So so intimidating soor<br><b>Clean</b>: so so intimidating soor,code-switched,2022-12-12 09:46:39,Accra
52,<b>Raw:</b> Herh so r2bees then KP no go come? Ei🤣🤣<br><b>Clean</b>: herh so r2bees then kp no go come ei,code-switched,2022-12-12 09:46:51,Accra
53,"<b>Raw:</b> @CryptonIke Herh 😂😂😂😂
You need salvation<br><b>Clean</b>: herh you need salvation",code-switched,2022-12-12 09:46:56,Accra
54,<b>Raw:</b> @Austin_claries You dey force momm<br><b>Clean</b>: you dey force momm,code-switched,2022-12-12 09:47:00,Accra
55,<b>Raw:</b> @BraRein @Zeinat_Issahak My money oh yoo<br><b>Clean</b>: my money oh yoo,code-switched,2022-12-12 09:47:10,Accra
56,<b>Raw:</b> Chichi is hurt ankasa  #BBNaija<br><b>Clean</b>: chichi is hurt ankasa,code-switched,2022-12-12 09:47:18,Accra
