,annotate_text,label,annotated_at,geo_tag
0,"<b>Raw:</b> Happy Birthday @emraanhashmi Sir...Love &amp; best wishes from Bangladesh 🇧🇩🇧🇩

I'm a big fan of u...Again best wishes,,Enjoy the day .<br><b>Clean</b>: happy birthday sir love and best wishes from bangladesh im a big fan of u again best wishesenjoy the day",informal-english,2022-12-11 16:45:07,Islamabad
1,<b>Raw:</b> Put hands where I can see baby.. That Naugthy officer.. ❤️❤️❤️❤️❤️👮‍♀️👮‍♀️ https://t.co/W5u8ZbfYx0<br><b>Clean</b>: put hands where i can see baby that naugthy officer,non-syntactic-english,2022-12-11 16:45:22,Islamabad
2,"<b>Raw:</b> @Ahmad_khan5555 @mariojohan @LingamSupraman2 Indonesia hv so much stock :( 
Demands are less
Heard India &amp; China not taking Palm oil<br><b>Clean</b>: indonesia hv so much stock demands are less heard india and china not taking palm oil",informal-english,2022-12-11 16:45:33,Islamabad
3,"<b>Raw:</b> I live in your dilemma 
Burned by your hesitation 😉 @ Agriculture Training Institute,hatazari,chittagong https://t.co/xIMcJWJ7lQ<br><b>Clean</b>: i live in your dilemma burned by your hesitation agriculture training institutehatazarichittagong",informal-english,2022-12-11 16:45:45,Islamabad
4,"<b>Raw:</b> There's a fine line between being a part of someone's life and just existing, once you figure out the difference, you'll know where to draw the line! @ Ｒｅａｌｉｔｙ https://t.co/HC3PlnS4M4<br><b>Clean</b>: theres a fine line between being a part of someones life and just existing once you figure out the difference youll know where to draw the line",syntactic-english,2022-12-11 16:46:02,Islamabad
5,<b>Raw:</b> @Anushreejain427 The happiness lies on the journey not on the result. How long we will see the sunrise/sunset sitting with a cup of coffee having no tense in mind.<br><b>Clean</b>: the happiness lies on the journey not on the result how long we will see the sunrisesunset sitting with a cup of coffee having no tense in mind,syntactic-english,2022-12-11 16:46:35,Islamabad
6,"<b>Raw:</b> Happy Valentine's Day to #ASTRO and fellow #AROHA 's❤️ hope y'all have a great day and enjoy with your loved ones 💜💜💜💜💜 
@offclASTRO https://t.co/FsHHCiA9Xy<br><b>Clean</b>: happy valentines day to and fellow s hope yall have a great day and enjoy with your loved ones",informal-english,2022-12-11 16:46:46,Islamabad
7,"<b>Raw:</b> FUCKING HELL, I TOLD IT IVAN VOLKOV WAS BEHIND HIS PARENTS DEAD BRUH WHY TF I GUESSED IT 1 PAGE BACK, I MEAN THERE WAS NO NEED FOR IT<br><b>Clean</b>: fucking hell i told it ivan volkov was behind his parents dead bruh why tf i guessed it 1 page back i mean there was no need for it",informal-english,2022-12-11 16:46:56,Islamabad
8,<b>Raw:</b> Many thanks @NishitaBarua_BD and band for joining #WOWBD’s Chattogram Chapter to celebrate the achievements of women and girls across Bangladesh. A fantastic performance despite the unexpected interruption. @bdBritish @ccdbangladesh #WOWSOUTHASIA https://t.co/rEKFR7RKtc<br><b>Clean</b>: many thanks and band for joining s chattogram chapter to celebrate the achievements of women and girls across bangladesh a fantastic performance despite the unexpected interruption,syntactic-english,2022-12-11 16:47:14,Islamabad
9,"<b>Raw:</b> @Kristennetten @Ukraine @EvaFoxU @alexcatrey @DimaZeniuk These are the Ukrainians who left Afghanistan in 2001 Le B 

The people of Ukraine today may be able to feel the pain of those oppressed people in Afghanistan and Iraq. In fact - God forgives; But don't give up.<br><b>Clean</b>: these are the ukrainians who left afghanistan in 2001 le b the people of ukraine today may be able to feel the pain of those oppressed people in afghanistan and iraq in fact god forgives but dont give up",syntactic-english,2022-12-11 16:48:10,Islamabad
