,annotate_text,label,annotated_at,geo_tag
0,<b>Raw:</b> @AngelicaLozanoC Amiguita ni a ti ni a tu esposa les creemos ya.<br><b>Clean</b>: amiguita ni a ti ni a tu esposa les creemos ya,not-english,2023-03-12 23:46:33,London
1,<b>Raw:</b> Bloody hell.  How good does Morten Harket look ????? https://t.co/MpaHAyzbe5<br><b>Clean</b>: bloody hell how good does morten harket look,informal-english,2023-03-12 23:47:07,London
2,<b>Raw:</b> Humana's acquisition of the operations of Assistans för dig approved by the Competition Authority - https://t.co/ML6LIreOGI<br><b>Clean</b>: humanas acquisition of the operations of assistans för dig approved by the competition authority,non-syntactic-english,2023-03-12 23:47:17,London
3,<b>Raw:</b> Richard Foord is our Tiverton and Honiton by-election candidate https://t.co/c5VyLl7Ly3<br><b>Clean</b>: richard foord is our tiverton and honiton by election candidate,syntactic-english,2023-03-12 23:47:30,London
4,<b>Raw:</b> Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off Newchic Brenice Functional &amp; Stylish Women's Bags Up To 50% Off50.00% discountValid between 2021-07-26 and 2022-07-26More information - https://t.co/OzviBttL6Y #Travel #Travel_Deals #Holidays<br><b>Clean</b>: newchic brenice functional and stylish womens bags up to 50 off newchic brenice functional and stylish womens bags up to 50 off50 00 discountvalid between 2021 07 26 and 2022 07 26more information,non-syntactic-english,2023-03-12 23:47:35,London
5,<b>Raw:</b> @raycasey77 IPTV?? I’ll be sending lampard an invoice<br><b>Clean</b>: iptv ill be sending lampard an invoice,non-syntactic-english,2023-03-12 23:47:41,London
6,"<b>Raw:</b> ""Broadband"" is a ‘catch-all’ term for #internet services that evolved after dial-up modems including: ADSL, FTTC, GFTTC, FTTP, SoGEA, EFM, EoFTTC and Fibre Ethernet. Learn more about the best #connectivity option for you https://t.co/2z1FbYpaz5 #UnifiedCommunications #HereToHelp https://t.co/tmDI51whGH<br><b>Clean</b>: broadband is a catch all term for services that evolved after dial up modems including adsl fttc gfttc fttp sogea efm eofttc and fibre ethernet learn more about the best option for you",syntactic-english,2023-03-12 23:47:51,London
7,<b>Raw:</b> @MailOnline Vieira DEFENDS himself. Not even hiding the racism<br><b>Clean</b>: vieira defends himself not even hiding the racism,non-syntactic-english,2023-03-12 23:47:57,London
8,"<b>Raw:</b> @waqas_amjaad All happened whilst maryum was playing the aurat card
#امپورٹڈ_حکومت_نامنظور<br><b>Clean</b>: all happened whilst maryum was playing the aurat card",non-syntactic-english,2023-03-12 23:48:04,London
9,<b>Raw:</b> C’est à 2:41 pour vous éviter tout le malaise de la vidéo ⚰️<br><b>Clean</b>: cest à 241 pour vous éviter tout le malaise de la vidéo,not-english,2023-03-12 23:48:07,London
10,<b>Raw:</b> Joon receiving his samsung pokemon earphones as we speak https://t.co/O27J733ysw<br><b>Clean</b>: joon receiving his samsung pokemon earphones as we speak,non-syntactic-english,2023-03-12 23:48:19,London
11,<b>Raw:</b> @iKarachiwala Sunaa hain keh woo imported donkey @AbidSherAli Pakistan main pans gaya ??<br><b>Clean</b>: sunaa hain keh woo imported donkey pakistan main pans gaya,incidental-english,2023-03-12 23:48:31,London
12,"<b>Raw:</b> Hat gerade ein Foto gepostet @ The Saints: St Nicholas &amp; St Luke's Church, Deptford https://t.co/VJHSPp8wfB<br><b>Clean</b>: hat gerade ein foto gepostet the saints st nicholas and st lukes church deptford",not-english,2023-03-12 23:48:48,London
13,"<b>Raw:</b> Brewin Dolphin Holdings (#BRW) 📈 513p
JPMorgan Chase #TR1 7.96% (🔼 0.89%) ~=2.7m #acquired 
20/05 08:39 #RNS Holding(s) in Company
https://t.co/Kb9ThJUjrp<br><b>Clean</b>: brewin dolphin holdings 513p jpmorgan chase 7 96 0 89 2 7m 2005 0839 holding s in company",non-syntactic-english,2023-03-12 23:49:09,London
14,"<b>Raw:</b> Day 4 of #Cannes2022 

Todays itinerary:

- Hunt (Lee Jung-Jae)
- The Stranger (Thomas M Wright)
- One Fine Morning (Mia Hansen-Løve)

- Black Tie Party In Vallauris 🤵🏻 https://t.co/HhDevD1wZ6<br><b>Clean</b>: day 4 of todays itinerary hunt lee jung jae the stranger thomas m wright one fine morning mia hansen løve black tie party in vallauris",non-syntactic-english,2023-03-12 23:49:14,London
15,<b>Raw:</b> @UpendraDhfm_ May b after 3days istademo after release craze chusi<br><b>Clean</b>: may b after 3days istademo after release craze chusi,informal-english,2023-03-12 23:49:27,London
16,<b>Raw:</b> @JacsGud @pmHuman Then you can bring conflict/discussion back to your process/evidence.<br><b>Clean</b>: then you can bring conflictdiscussion back to your processevidence,non-syntactic-english,2023-03-12 23:49:32,London
17,"<b>Raw:</b> Kingston Hospital Radio
Tunein app
Programmes
https://t.co/gfL8Iks1Vb
https://t.co/SO8iURqMnk
🎧 
Friday 20/05/22
7pm-9pm Manjyot Hira
🎧
Saturday 21/05/22
8am-11am Mao Ali
11am-1pm Rhea Pollard
1pm-3pm Simon Frate
🎧
Sunday 22/05/22
12pm-2pm Geoff Austin
2pm-4.30pm Chris Hussey https://t.co/7fup4WxTT1<br><b>Clean</b>: kingston hospital radio tunein app programmes friday 200522 7pm 9pm manjyot hira saturday 210522 8am 11am mao ali 11am 1pm rhea pollard 1pm 3pm simon frate sunday 220522 12pm 2pm geoff austin 2pm 4 30pm chris hussey",non-syntactic-english,2023-03-12 23:49:45,London
18,<b>Raw:</b> Hating Son Heung Min is such a red flag icl<br><b>Clean</b>: hating son heung min is such a red flag icl,informal-english,2023-03-12 23:49:52,London
19,"<b>Raw:</b> Grabi! Pag dumating ang time na manalo ako! Bibili ako ng building sa Oxford street! Magiging halfway house ng mga biktima ng domestic violence, modern day slavery, human trafficking at destitute LGBTQ+. Middle finger sa hostile environment policy dito sa UK! Korique ba? https://t.co/jwoCPsUIND<br><b>Clean</b>: grabi pag dumating ang time na manalo ako bibili ako ng building sa oxford street magiging halfway house ng mga biktima ng domestic violence modern day slavery human trafficking at destitute lgbtq middle finger sa hostile environment policy dito sa uk korique ba",code-switched,2023-03-12 23:50:08,London
20,"<b>Raw:</b> @QLBeauchamp No solo no quería que el rubiales le tocara, como hacía ni dos segundos le había resobado a él las posaderas, es que a Quentin le iba a dar un pasmo ante tal escena.&gt;<br><b>Clean</b>: no solo no quería que el rubiales le tocara como hacía ni dos segundos le había resobado a él las posaderas es que a quentin le iba a dar un pasmo ante tal escena gt",not-english,2023-03-12 23:50:12,London
21,"<b>Raw:</b> @cath_michaud75 @n_delattre @Bordeaux @BdxEnsemble @EpicurialesBdx @RDQBX @sudouest @tv7_sudouest @Bleu_Gironde @CCIBdxGironde ""Diversite culinaire""...et c'est tout. Ca reste une fete de bourgeois de droite qui peut s'offir le luxe de depenser 40/50 euros pour 2 petits verres de vin et 3 tapas.<br><b>Clean</b>: diversite culinaire et cest tout ca reste une fete de bourgeois de droite qui peut soffir le luxe de depenser 4050 euros pour 2 petits verres de vin et 3 tapas",not-english,2023-03-12 23:50:16,London
22,<b>Raw:</b> Blade Runner composer Vangelis passes away via /r/Cyberpunk by u/ grnngr #cyberpunk #cyberpunk2077 #gaming https://t.co/X1iyndEKAu<br><b>Clean</b>: blade runner composer vangelis passes away via rcyberpunk by u grnngr,syntactic-english,2023-03-12 23:50:26,London
23,"<b>Raw:</b> Vivianne Miedema has signed a new contract with Arsenal! ✍️🔴

https://t.co/f9M4zqmza3<br><b>Clean</b>: vivianne miedema has signed a new contract with arsenal",syntactic-english,2023-03-12 23:50:30,London
24,"<b>Raw:</b> @99probleems_ Faut juste les voir parle de « West Af » là, Ghana Nigeria Gambie Liberia Sierra Leone, c’est même pas dedans. 💀<br><b>Clean</b>: faut juste les voir parle de west af là ghana nigeria gambie liberia sierra leone cest même pas dedans",not-english,2023-03-12 23:50:34,London
25,<b>Raw:</b> Personalised  Horse Racing Male BIRTHDAY/ANY OCASSION Card https://t.co/pLeF95JNhv via @Etsy<br><b>Clean</b>: personalised horse racing male birthdayany ocassion card via,non-syntactic-english,2023-03-12 23:50:42,London
26,<b>Raw:</b> Monday Mosh Radio; Now Playing Enya - Orinoco Flow (2009 Remaster) #HamSphereMMR https://t.co/ozjfsLXMx2<br><b>Clean</b>: monday mosh radio now playing enya orinoco flow 2009 remaster,non-syntactic-english,2023-03-12 23:50:53,London
27,<b>Raw:</b> @chiara_nardi E ti lamenti??? Torna qui e poi ne parliamo XD<br><b>Clean</b>: e ti lamenti torna qui e poi ne parliamo xd,not-english,2023-03-12 23:50:57,London
28,<b>Raw:</b> e eu vou ver a ju em menos de 19 dias to tão feliz<br><b>Clean</b>: e eu vou ver a ju em menos de 19 dias to tão feliz,not-english,2023-03-12 23:51:00,London
29,"<b>Raw:</b> A mi no me decepcionó porque cuando vi la temporada anterior, y los capítulos de esa temporada ya supe que el final iba a ser un desastre. https://t.co/WoZLw92CXj<br><b>Clean</b>: a mi no me decepcionó porque cuando vi la temporada anterior y los capítulos de esa temporada ya supe que el final iba a ser un desastre",not-english,2023-03-12 23:51:03,London
30,<b>Raw:</b> Hybrid Event: BSI Spring Standards Conference 2022 - Reimagining the future. https://t.co/Etealml0WK<br><b>Clean</b>: hybrid event bsi spring standards conference 2022 reimagining the future,syntactic-english,2023-03-12 23:51:16,London
31,"<b>Raw:</b> #SZS51M EI-SII Airbus A320 251NSL Scandinavian Airlines Ireland : 0.4 mi away @ 2750 ft and 52.3° frm hrzn, heading W @ 221.0mi/h 09:53:14. #Putney #SW15 #ADSB https://t.co/oLUJ697gCG<br><b>Clean</b>: ei sii airbus a320 251nsl scandinavian airlines ireland 0 4 mi away 2750 ft and 52 3 frm hrzn heading w 221 0mih 095314",syntactic-english,2023-03-12 23:51:37,London
32,"<b>Raw:</b> Kia Sportage PHEV review: Business-friendly SUV impresses:
https://t.co/E4NHHlL7hL https://t.co/15kFapDvjJ<br><b>Clean</b>: kia sportage phev review business friendly suv impresses",non-syntactic-english,2023-03-12 23:51:53,London
33,"<b>Raw:</b> @paul_winginit IC25 St Pancras – Leicester – Nottingham
IC26 Paignton – Birmingham – Manchester
IC27 St Pancras – Derby – Sheffield
IC36 Bournemouth – Oxford – Birmingham – Manchester
IC41 Liverpool – Leeds – Newcastle
IC43 Manchester – Leeds – Redcar
IC44 Manchester – Leeds – Hull<br><b>Clean</b>: ic25 st pancras leicester nottingham ic26 paignton birmingham manchester ic27 st pancras derby sheffield ic36 bournemouth oxford birmingham manchester ic41 liverpool leeds newcastle ic43 manchester leeds redcar ic44 manchester leeds hull",syntactic-english,2023-03-12 23:52:03,London
34,"<b>Raw:</b> Les gens ont tendance à penser que sa date de 2015 mais c’est FAUX 

Des l’indépendance du Cameroun la majorité voulais un État indépendant et on rejoins le Cameroun par dépit https://t.co/WtMdQ4WkvZ<br><b>Clean</b>: les gens ont tendance à penser que sa date de 2015 mais cest faux des lindépendance du cameroun la majorité voulais un état indépendant et on rejoins le cameroun par dépit",not-english,2023-03-12 23:52:07,London
35,"<b>Raw:</b> DIOS ES QUE ES UN TEMAZO, IT HAS A GROOVE BABYYYYY<br><b>Clean</b>: dios es que es un temazo it has a groove babyyyyy",code-switched,2023-03-12 23:52:11,London
36,<b>Raw:</b> Megas were only famous because Digimon was on Hiatus https://t.co/bnAs4ebV3L<br><b>Clean</b>: megas were only famous because digimon was on hiatus,syntactic-english,2023-03-12 23:52:27,London
37,<b>Raw:</b> A wild Pokémon-themed Galaxy Buds case has appeared https://t.co/TsmEPWsLjB<br><b>Clean</b>: a wild pokémon themed galaxy buds case hasappeared,syntactic-english,2023-03-12 23:52:37,London
38,"<b>Raw:</b> @Alex06915836 Je note souvent qu'en terme de services bancaires basics, par exemple, ils sont souvent très en retard. Pareil pour tout ce qui est admin, les taxes locales etc, tu peux pas opter pour le prélèvement auto...<br><b>Clean</b>: je note souvent quen terme de services bancaires basics par exemple ils sont souvent très en retard pareil pour tout ce qui est admin les taxes locales etc tu peux pas opter pour le prélèvement auto",not-english,2023-03-12 23:52:44,London
39,"<b>Raw:</b> Thou, when thou retorn'st, wilt tell mee<br><b>Clean</b>: thou when thou retornst wilt tell mee",informal-english,2023-03-12 23:52:49,London
40,"<b>Raw:</b> Now Playing Dru Grange - iLive Radio 
Tune into iLive UK https://t.co/rSjdUnneff<br><b>Clean</b>: now playing dru grange ilive radio tune into ilive uk",non-syntactic-english,2023-03-12 23:52:56,London
41,<b>Raw:</b> What if we kissed on the Charli xcx bus ? 👉🏻🥺👈🏻 https://t.co/hNo6ALvOtn<br><b>Clean</b>: what if we kissed on the charli xcx bus,syntactic-english,2023-03-12 23:53:10,London
42,<b>Raw:</b> @AndyJoyce16 @markgoldbridge Fergie won the UCL 2 times in 27 years thats 20+ “bottles”<br><b>Clean</b>: fergie won the ucl 2 times in 27 years thats 20 bottles,non-syntactic-english,2023-03-12 23:53:19,London
43,<b>Raw:</b> I just wanna say that im drooling over Yvie ugghhhh 😏🤤 #allstars7<br><b>Clean</b>: i just wanna say that im drooling over yvie ugghhhh,informal-english,2023-03-12 23:53:22,London
44,"<b>Raw:</b> Tour préliminaire à la Coupe du monde de football 2002 : Japon - Corée.
➡️19 avril 2000 à Yaoundé (Cameroun) : Somalie 0 - 3 Cameroun

✍Ce match fut joué au Cameroun au lieu de la Somalie du fait de sa situation politique.

➡️23 avril 2000 à Yaoundé (Cameroun) : Cameroun 3 -0 https://t.co/1hrUEpNuUd<br><b>Clean</b>: tour préliminaire à la coupe du monde de football 2002 japon corée 19 avril 2000 à yaoundé cameroun somalie 0 3 cameroun ce match fut joué au cameroun au lieu de la somalie du fait de sa situation politique 23 avril 2000 à yaoundé cameroun cameroun 3 0",not-english,2023-03-12 23:53:34,London
45,<b>Raw:</b> @the_equanimous RBL are a selling club. I’d take Gnarby<br><b>Clean</b>: rbl are a selling club id take gnarby,non-syntactic-english,2023-03-12 23:53:42,London
46,"<b>Raw:</b> @josemorgado Daniil in QFs !!
If he makes it from his section 1st with Djere &amp; Miomir both very good on clay

Slim chance tbh https://t.co/JVIsuQaqMF<br><b>Clean</b>: daniil in qfs if he makes it from his section 1st with djere and miomir both very good on clay slim chance tbh",non-syntactic-english,2023-03-12 23:53:53,London
47,"<b>Raw:</b> #NowPlaying

Michael Schenker Group - Immortal (2021)

2/ Bulgaria in this year’s Eurovision), MSG stalwarts Gary Barden &amp; Robin McAuley, and Ralf Scheepers.

Whitesnake’s Brian Tichy, Simon Phillips (Toto/Toyah/Just about every body), &amp; McAuley Schenker Group’s Bodo Schopf… https://t.co/A1dmNN4wGu<br><b>Clean</b>: michael schenker group immortal 2021 2 bulgaria in this years eurovision msg stalwarts gary barden and robin mcauley and ralf scheepers whitesnakes brian tichy simon phillips tototoyahjust about every body and mcauley schenker groups bodo schopf",non-syntactic-english,2023-03-12 23:54:04,London
48,"<b>Raw:</b> Listen to “HIPHOP &amp; RNB 💿🎼 THAT SAMPLED ASIAN/ARABIC MUSIC”- PLAYLIST. Today, 20 May at 9:55 am BST in @clubhouse. https://t.co/nYBmR0UpKn #rap #hiphop #rnb #timbaland #missyelliot #music #sampleflip #beatmakers<br><b>Clean</b>: listen to hiphop and rnb that sampled asianarabic music playlist today 20 may at 955 am bst in",non-syntactic-english,2023-03-12 23:54:11,London
49,<b>Raw:</b> 'Sky hires Pinewood &amp; Shepperton alum for soon-to-open Elstree studio' - https://t.co/XE7GTCELoL via @TBImagazine https://t.co/Izsn72LdBZ<br><b>Clean</b>: sky hires pinewood and shepperton alum for soon to open elstree studio via,non-syntactic-english,2023-03-12 23:54:18,London
50,"<b>Raw:</b> On m’a dit que je suis le numéro 3, indeed 😅 https://t.co/IBT6R8hJSo<br><b>Clean</b>: on ma dit que je suis le numéro 3 indeed",incidental-english,2023-03-12 23:54:22,London
51,<b>Raw:</b> @talkSPORT Frank Lampard didn’t do anything at Everton<br><b>Clean</b>: frank lampard didnt do anything at everton,syntactic-english,2023-03-12 23:54:28,London
52,"<b>Raw:</b> Snoggys Famous Wors, Meats and Treats .. Enjoyed by Famous legends. Instore and online. https://t.co/4iJuiSsFTE https://t.co/1sT9ZDAVlU<br><b>Clean</b>: snoggys famous wors meats and treats enjoyed by famous legends instore and online",non-syntactic-english,2023-03-12 23:54:33,London
53,<b>Raw:</b> @markmae66 I know! Watch out WSL! Vivstenius is back!<br><b>Clean</b>: i know watch out wsl vivstenius is back,syntactic-english,2023-03-12 23:54:43,London
54,"<b>Raw:</b> @rutie_xx Which part be d half Canadian biko?
Yinmu🙄<br><b>Clean</b>: which part be d half canadian biko yinmu",code-switched,2023-03-12 23:55:23,London
55,"<b>Raw:</b> Personalised ABSOLUT VODKA Birthday Card   - Son,Dad, Mum,Daughter Granddaughter, Grandson ,Friend https://t.co/Z7tCPBxo8z via @Etsy<br><b>Clean</b>: personalised absolut vodka birthday card sondad mumdaughter granddaughter grandson friend via",non-syntactic-english,2023-03-12 23:55:29,London
