,annotate_text,label,annotated_at,geo_tag
0,<b>Raw:</b> Bakit parang Mucosolvan HCL ang vibe nito. https://t.co/UdKMnaKBdP<br><b>Clean</b>: bakit parang mucosolvan hcl ang vibe nito,not-english,2022-12-10 11:39:46,Manila
1,<b>Raw:</b> @jcael_abdns Weh? Na try mo na? Haha di ako naniniwala 😂<br><b>Clean</b>: weh na try mo na haha di ako naniniwala,not-english,2022-12-10 11:39:53,Manila
2,"<b>Raw:</b> Hindi na tataas COVID cases sa Pinas,cutie! ✨✨✨<br><b>Clean</b>: hindi na tataas covid cases sa pinascutie",incidental-english,2022-12-10 11:39:59,Manila
3,<b>Raw:</b> Th gusto ko nalang maging hotdog sa ref🤦‍♀️<br><b>Clean</b>: th gusto ko nalang maging hotdog sa ref,incidental-english,2022-12-10 11:40:15,Manila
4,<b>Raw:</b> first ever concert ko na aattendan yung svt BeTS and feeling ko mattrauma ako dahil sa l1venat10n 😭 play fair jebal<br><b>Clean</b>: first ever concert ko na aattendan yung svt bets and feeling ko mattrauma ako dahil sa l1venat10n play fair jebal,code-switched,2022-12-10 11:42:33,Manila
5,"<b>Raw:</b> Missing the old times na nandyan yung Mama mo, na umaalalay sayo kapag pagod kana sa lahat. IMY Ma ❤️ see you sa next life. #mama<br><b>Clean</b>: missing the old times na nandyan yung mama mo na umaalalay sayo kapag pagod kana sa lahat imy ma see you sa next life",code-switched,2022-12-10 11:42:44,Manila
6,<b>Raw:</b> @arviaann Barely surviving and living. Pagod na ako. Ubos na ako. nakakapagod lang na talaga.<br><b>Clean</b>: barely surviving and living pagod na ako ubos na ako nakakapagod lang na talaga,code-switched,2022-12-10 11:42:51,Manila
7,<b>Raw:</b> kakamiss din magturo hahahah for the retreat and field trip #tb https://t.co/iSR7MtbbqK<br><b>Clean</b>: kakamiss din magturo hahahah for the retreat and field trip,code-switched,2022-12-10 11:42:59,Manila
8,"<b>Raw:</b> Bare minimum na nga lang ang vaccination, tatanggalin pa? E di tanggalin na din qng mask kung ganyan na pala ang kalakaran e. https://t.co/Eb6xhoFZ0F<br><b>Clean</b>: bare minimum na nga lang ang vaccination tatanggalin pa e di tanggalin na din qng mask kung ganyan na pala ang kalakaran e",incidental-english,2022-12-10 11:43:10,Manila
9,<b>Raw:</b> LAST DAY!!!!!🎉🎉🎉🎉 TAPOS HALF DAY KO PA HAHAHAHAHA<br><b>Clean</b>: last day tapos half day ko pa hahahahaha,code-switched,2022-12-10 11:43:13,Manila
10,"<b>Raw:</b> Sa itsura ko today, its either nastuck ako sa 2013 o nastuck ako sa 2013. #wolfera<br><b>Clean</b>: sa itsura ko today its either nastuck ako sa 2013 o nastuck ako sa 2013",incidental-english,2022-12-10 11:43:29,Manila
11,<b>Raw:</b> Pa save lang ulit kasi nag live si atty kagabi. https://t.co/omefGZJ2Ve<br><b>Clean</b>: pa save lang ulit kasi nag live si atty kagabi,incidental-english,2022-12-10 11:43:34,Manila
12,<b>Raw:</b> BEH. DI AKO MAKAMOVE ON SA THAT THAT 🥴🥴🥴🥴<br><b>Clean</b>: beh di ako makamove on sa that that,incidental-english,2022-12-10 11:43:58,Manila
13,"<b>Raw:</b> @rcpineda Hmmm, may copy ka ng published journals on this RC? Gusto ko basahin. Ano ulit ung tanong mo? Hahahhaa! Real name or chiildhood name? 🤭🤣<br><b>Clean</b>: hmmm may copy ka ng published journals on this rc gusto ko basahin ano ulit ung tanong mo hahahhaa real name or chiildhood name",code-switched,2022-12-10 11:44:18,Manila
14,"<b>Raw:</b> ohmy, umabot ako sa link ng lto for theoretical driving course 😚<br><b>Clean</b>: ohmy umabot ako sa link ng lto for theoretical driving course",code-switched,2022-12-10 11:44:24,Manila
15,<b>Raw:</b> @stoked_soul @dannyca1008 @anniieepiiee @hi_dreamie iyak na lang talaga ako…ayaw talaga sa akin ni PP 😂😂😂😂😂😂😂😂 Nag extend na lang sana tayo eh😂😂😂😂 https://t.co/2V5cPlIfIY<br><b>Clean</b>: iyak na lang talaga ako ayaw talaga sa akin ni pp nag extend na lang sana tayo eh,incidental-english,2022-12-10 11:44:33,Manila
16,"<b>Raw:</b> napaka supportive ni ate sa likod oh!!
@mynameisnanon https://t.co/wNWKO1HX9S<br><b>Clean</b>: napaka supportive ni ate sa likod oh",incidental-english,2022-12-10 11:44:37,Manila
17,<b>Raw:</b> Ung felix bubblegum gives me ung flowercrown vibes..it is an itch i need to scratch 🥶 pabili 😂😂😂<br><b>Clean</b>: ung felix bubblegum gives me ung flowercrown vibes it is an itch i need to scratch pabili,code-switched,2022-12-10 11:44:46,Manila
18,"<b>Raw:</b> Ay shet exam na pala hahaha wait sir maam, yun na po bayun? Bakit parang 2% lang meron akooo<br><b>Clean</b>: ay shet exam na pala hahaha wait sir maam yun na po bayun bakit parang 2 lang meron akooo",incidental-english,2022-12-10 11:45:04,Manila
