,annotate_text,label,annotated_at,geo_tag
0,"<b>Raw:</b> CA No -60003794223
Krishan Vihar Delhi 110086 MCD School Street... https://t.co/MUI5wADyOE<br><b>Clean</b>: ca no 60003794223 krishan vihar delhi 110086 mcd school street",informal-english,2022-12-10 13:46:53,New Delhi
1,"<b>Raw:</b> @Virendrauptv 

Shri Hari 
Hari Aum
🙏 https://t.co/dnG558vuXg<br><b>Clean</b>: shri hari hari aum",not-english,2022-12-10 13:46:57,New Delhi
2,<b>Raw:</b> @DhyeyMishra @Drs_Dilemma She was a GMCite😂<br><b>Clean</b>: she was a gmcite,informal-english,2022-12-10 13:47:00,New Delhi
3,"<b>Raw:</b> D.R.E.A.M.S....
||OM NAMAH SHIVAYA|| https://t.co/BU3qkLpVLS<br><b>Clean</b>: d r e a m s om namah shivaya",informal-english,2022-12-10 13:47:09,New Delhi
4,"<b>Raw:</b> Literally, Steve's a keeper

#StrangerThings https://t.co/C9zw2ziv4D<br><b>Clean</b>: literally steves a keeper",non-syntactic-english,2022-12-10 13:47:17,New Delhi
5,<b>Raw:</b> @vinodkapri @narendramodi Targeted Hindus by Congis<br><b>Clean</b>: targeted hindus by congis,informal-english,2022-12-10 13:47:22,New Delhi
6,<b>Raw:</b> Axar patel you beauty🔥🔥🔥🔥<br><b>Clean</b>: axar patel you beauty,non-syntactic-english,2022-12-10 13:47:31,New Delhi
7,<b>Raw:</b> @LostEdenNFT marked for wl consideration.<br><b>Clean</b>: marked for wl consideration,informal-english,2022-12-10 13:47:54,New Delhi
8,<b>Raw:</b> Powe cut naipura electricity board (Loni) ... morning 3:30 ...why many times power cut this department.   @pvvnlghaziabad @MdPvvnl @AE_CCC_PVVNL @UPPCLLKO @EMofficeUP @Pawanjha1996<br><b>Clean</b>: powe cut naipura electricity board loni morning 330 why many times power cut this department,code-switched,2022-12-10 13:48:00,New Delhi
9,"<b>Raw:</b> @nyetsott Alhamdulillah, remember us too in ur Dua.<br><b>Clean</b>: alhamdulillah remember us too in ur dua",code-switched,2022-12-10 13:48:06,New Delhi
10,"<b>Raw:</b> Waheguru ji ka khalsa
Waheguru ji ki fatah !!

#darshan #darbarsahib #amritsar https://t.co/0n49jGy2b1<br><b>Clean</b>: waheguru ji ka khalsa waheguru ji ki fatah",not-english,2022-12-10 13:48:11,New Delhi
11,"<b>Raw:</b> ®Daniel Electric @ Noida Extension, Greater Noida West https://t.co/YZvN5CPecO<br><b>Clean</b>: daniel electric noida extension greater noida west",informal-english,2022-12-10 13:48:34,New Delhi
12,<b>Raw:</b> @Avenika7575 Good morning 🌅 avenika ji kaise hai app<br><b>Clean</b>: good morning avenika ji kaise hai app,code-switched,2022-12-10 13:48:40,New Delhi
13,"<b>Raw:</b> La gouvernance mondiale est de la plus haute importance. Nous devons penser comme Un et non comme différents pays, nationalités ou sociétés…

https://t.co/oSWKkmAnhg https://t.co/OHR4Lvb8Ul<br><b>Clean</b>: la gouvernance mondiale est de la plus haute importance nous devons penser comme un et non comme différents pays nationalités ou sociétés",incidental-english,2022-12-10 13:48:44,New Delhi
14,<b>Raw:</b> @Swatisahu08 Ab to nahi ho rahi hai na 🙄😂<br><b>Clean</b>: ab to nahi ho rahi hai na,not-english,2022-12-10 13:48:47,New Delhi
15,"<b>Raw:</b> About to turn 22 and now I understand the actual meaning of @asliyoyo songs 
Wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane! 

#hangover #chaarbottlevodka #yoyo #yoyohoneysingh https://t.co/XUOrX0EORy<br><b>Clean</b>: about to turn 22 and now i understand the actual meaning of songs wrna 12 saal ki umar mein toh bas gaa rahe the loop pe gaane",code-switched,2022-12-10 13:48:54,New Delhi
16,<b>Raw:</b> @ianuragbisht Sushant day under Plug 19<br><b>Clean</b>: sushant day under plug 19,informal-english,2022-12-10 13:49:03,New Delhi
17,<b>Raw:</b> @iambellahazel1 Aaj mein shant tha 🤭🤭🤭🤣🤣🤣🤣🤣🤣<br><b>Clean</b>: aaj mein shant tha,not-english,2022-12-10 13:49:06,New Delhi
18,<b>Raw:</b> Public winner Umar Riaz<br><b>Clean</b>: public winner umar riaz,non-syntactic-english,2022-12-10 13:49:11,New Delhi
19,<b>Raw:</b> @MrBeeKay Time now 4:50 am and temp 32° mariha a betere ho feta this<br><b>Clean</b>: time now 450 am and temp 32 mariha a betere ho feta this,code-switched,2022-12-10 13:49:17,New Delhi
