,annotate_text,label,annotated_at,geo_tag
0,<b>Raw:</b> 没事不要换passport！Long Q like vaccination center… 25-05-2022 #cstar @ Jabatan Imigresen Malaysia Utc Johor https://t.co/hQ1nO269PY<br><b>Clean</b>: passportlong q like vaccination center 25 05 2022 jabatan imigresen malaysia utc johor,informal-english,2022-11-18 13:21:09,Singapore
1,"<b>Raw:</b> Lepas 4 hr vacay, rasa janggal ye hr ni nak berkerja semula 🤣<br><b>Clean</b>: lepas 4 hr vacay rasa janggal ye hr ni nak berkerja semula",not-english,2022-11-18 13:21:18,Singapore
2,"<b>Raw:</b> Nasasabik kaming makilala ka! David and @Alfredsunn will be seeing you FACE-TO-FACE in Philippines this coming August 2022 at the Raikan Fancon! 

@RaikantopeniPHL 
#RaikanFanConGameOn https://t.co/dEVjgcdIw4<br><b>Clean</b>: nasasabik kaming makilala ka david and will be seeing you face to face in philippines this coming august 2022 at the raikan fancon",code-switched,2022-11-18 13:21:25,Singapore
3,"<b>Raw:</b> Hahah american/indian warrior/hunter means. Pains shape me to be a warrior/hunter
Peony flowers sa taas. For the love of nature.🤩🤗 
Pa book naman ta. Idol ning artist ko.buot na,humble pa. https://t.co/SK2F2JIQOR<br><b>Clean</b>: hahah americanindian warriorhunter means pains shape me to be a warriorhunter peony flowers sa taas for the love of nature pa book naman ta idol ning artist ko buot nahumble pa",code-switched,2022-11-18 13:21:51,Singapore
4,"<b>Raw:</b> @dhiasyaf_ @Ashsukamakan Boleh cuba Samsung S21 Ultra, sample moon shot  100x zoom ada di media saya ✌️. Sangat2 puas hati sumpah x tipu<br><b>Clean</b>: boleh cuba samsung s21 ultra sample moon shot 100x zoom ada di media saya sangat2 puas hati sumpah x tipu",incidental-english,2022-11-18 13:22:09,Singapore
5,<b>Raw:</b> Di ko ya mag jowa for a clout. Katalaka puro jowa2<br><b>Clean</b>: di ko ya mag jowa for a clout katalaka puro jowa2,not-english,2022-11-18 13:22:12,Singapore
6,<b>Raw:</b> Kwarta lang man gali problema.. Hahah mole removal pa gani. Daw nag limpyo man ang guya ko hahaha<br><b>Clean</b>: kwarta lang man gali problema hahah mole removal pa gani daw nag limpyo man ang guya ko hahaha,not-english,2022-11-18 13:22:16,Singapore
7,"<b>Raw:</b> @Sarcasm81147883 @TheScienceRiot @McGregorRousey @Canelo If you're trying to convince me of Khabib's popularity in a pre-Conor era, you're just plain delusional.<br><b>Clean</b>: if youre trying to convince me of khabibs popularity in a pre conor era youre just plain delusional",informal-english,2022-11-18 13:22:26,Singapore
8,"<b>Raw:</b> @HappyDogSmiling Je sais pas, mais je reste que 3 mois et j'ai une assurance maladie<br><b>Clean</b>: je sais pas mais je reste que 3 mois et jai une assurance maladie",not-english,2022-11-18 13:22:29,Singapore
9,<b>Raw:</b> Bercakap itu adalah satu doa. This places i wish to go. I never stop asking for it. Let divine provisions and time determine everything. InshaAllah. Amin amin ya rabbal al’aminn<br><b>Clean</b>: bercakap itu adalah satu doa this places i wish to go i never stop asking for it let divine provisions and time determine everything inshaallah amin amin ya rabbal alaminn,code-switched,2022-11-18 13:22:42,Singapore
10,"<b>Raw:</b> @Deathrocker76 @PatsKarvelas Wrong. Singapore does approx 4,500 PCR/day and 24,000 ART/day. NSW alone does 28,000 PCR/day on average last 7 days<br><b>Clean</b>: wrong singapore does approx 4500 pcrday and 24000 artday nsw alone does 28000 pcrday on average last 7 days",informal-english,2022-11-18 13:22:49,Singapore
11,<b>Raw:</b> La façon dont la go l’a regardé ? Elle était en mode « il se relève à quel moment ? » 💀<br><b>Clean</b>: la façon dont la go la regardé elle était en mode il se relève à quel moment,not-english,2022-11-18 13:23:24,Singapore
12,"<b>Raw:</b> Configuring ipV6 my home network for Internet of Things. X sabar nak beli @Raspberry_Pi lps raya.
Selamat Hari Raya. Maaf Zahir &amp; Batin 

#ipv6 
#EidUlFitr https://t.co/XalhAvL0aa<br><b>Clean</b>: configuring ipv6 my home network for internet of things x sabar nak beli lps raya selamat hari raya maaf zahir and batin",code-switched,2022-11-18 13:23:33,Singapore
13,"<b>Raw:</b> Baka yung ""BREAK RECORD"" sa mga headlines bigdeal na nman po sa kanila😭

BAZINGA 7HIS IS MY LEGACY
@SB19Official #SB19
#SB19LeadsBillboardHTS

Listen to #Bazinga_SB19<br><b>Clean</b>: baka yung break record sa mga headlines bigdeal na nman po sa kanila bazinga 7his is my legacy listen to",code-switched,2022-11-18 13:23:44,Singapore
14,"<b>Raw:</b> If you’re not already watching Ryan’s series on YT, I’d recommend checking it out.<br><b>Clean</b>: if youre not already watching ryans series on yt id recommend checking it out",informal-english,2022-11-18 13:23:50,Singapore
15,"<b>Raw:</b> Its a day. Haihhh nervous sia nk tahu result 😩😩. Kadang mulut aku ni masin, kalau aku ckp A, result dia pun A. Tp aku harap tak lah. Hmmmmm hope semua ye okay. 💪🏼💪🏼<br><b>Clean</b>: its a day haihhh nervous sia nk tahu result kadang mulut aku ni masin kalau aku ckp a result dia pun a tp aku harap tak lah hmmmmm hope semua ye okay",code-switched,2022-11-18 13:23:58,Singapore
