,id,date,rawContent,cleaned_content
0,1,2022-01-01 23:59:51+00:00,Nagyi performs live at #mimlifeconcert22 https://t.co/iU9vehSx28,nagyi performs live at
1,2,2022-01-01 23:59:40+00:00,Ei wenne slight moan that,ei wenne slight moan that
2,3,2022-01-01 23:59:12+00:00,@kay_bee28 😂😂,
3,4,2022-01-01 23:59:07+00:00,@shattawalegh Sell Out,sell out
4,5,2022-01-01 23:58:45+00:00,4 years no hit. Everyday somebody’s mother. Ooh Nii 🤦🏽‍♂️🤦🏽‍♂️🤦🏽‍♂️ https://t.co/BSV5C4vViu,4 years no hit everyday somebodys mother ooh nii
5,6,2022-01-01 23:58:44+00:00,@griff__00 Bro! We be too relaxed for this side! We make am small then we relax,bro we be too relaxed for this side we make am small then we relax
6,7,2022-01-01 23:58:29+00:00,Happy new year baby ❤️😍 https://t.co/xAG3pa8O86,happy new year baby
7,8,2022-01-01 23:58:16+00:00,@Airkuya Jon😆,jon
8,9,2022-01-01 23:57:52+00:00,@Delibans Bro!,bro
9,10,2022-01-01 23:57:45+00:00,The space way time them go close?,the space way time them go close
10,11,2022-01-01 23:57:41+00:00,Chale 😂😂😂 https://t.co/vdNq7Msop5,chale
11,12,2022-01-01 23:57:40+00:00,Okay so make king promise start dey use Egusi and amala for tracks inside???,okay so make king promise start dey use egusi and amala for tracks inside
12,13,2022-01-01 23:56:32+00:00,"I’ll post a lot this year. 
iMean pictures of myself 😁",ill post a lot this year imean pictures of myself
13,14,2022-01-01 23:56:29+00:00,@__effah @Kwaku____ She say like Captan and Addi Sef for step in 😭😭😭😭,she say like captan and addi sef for step in
14,15,2022-01-01 23:56:25+00:00,Is shatta still chatting shit ?,is shatta still chatting shit
15,16,2022-01-01 23:56:20+00:00,@shattawalegh 😂😂😂😂😂😂😂,
16,17,2022-01-01 23:56:09+00:00,"@shattawalegh Wale never go relax then them beat am 
Oh Ghana",wale never go relax then them beat am oh ghana
17,18,2022-01-01 23:55:58+00:00,"I'm loving today 1st January 2022
A lovely start big ups to @shattawalegh and @burnaboy 
Vawulence...! Vawulence...!
#danzaconme 
#HarryPotter20thAnniversary 
#",im loving today 1st january 2022 a lovely start big ups to and vawulence vawulence
18,19,2022-01-01 23:55:56+00:00,Them dey call you out ooo @ksheldongh 😂😂😂😂😂😂,them dey call you out ooo
19,20,2022-01-01 23:55:49+00:00,@_deLaaaLi See as your eye get🤣🤣,see as your eye get
20,21,2022-01-01 23:55:37+00:00,Aaaaahhhhhh @ksheldongh dey hear am again,aaaaahhhhhh dey hear am again
21,22,2022-01-01 23:55:27+00:00,Yie! Sheldon stray bullet😭😭😭😭,yie sheldon stray bullet
22,23,2022-01-01 23:54:54+00:00,@mistameister please end the space!!!!,please end the space
23,24,2022-01-01 23:54:53+00:00,"@yaoelliott @JoojoSuave_ Playing hard does not out you above critiques tho, he dey over use ""hardness""",playing hard does not out you above critiques tho he dey over use hardness
24,25,2022-01-01 23:54:37+00:00,dude is about to get cooked 😂😂,dude is about to get cooked
25,26,2022-01-01 23:54:33+00:00,"Broooooo 
Someone said Burna boy knew his album was going to blow so he didn’t include any Ghanaian 😂😂😂 https://t.co/W9eXn05xz9",broooooo someone said burna boy knew his album was going to blow so he didnt include any ghanaian
26,27,2022-01-01 23:54:13+00:00,Rondo mom paa  dier herh🤣🤣🤣 https://t.co/7kmqru4aYM,rondo mom paa dier herh
27,28,2022-01-01 23:53:47+00:00,"@shattawalegh Wale
Relax o bro",wale relax o bro
28,29,2022-01-01 23:53:44+00:00,@AbenaLipzil Hello 👋,hello
29,30,2022-01-01 23:53:43+00:00,😂 😂 😂 😂 https://t.co/7kmqru4aYM,
30,31,2022-01-01 23:53:36+00:00,"Exactly!! Shatta made him in his image and likeness and breathe life into him, go on..... https://t.co/v2VNEqSCIu",exactly shatta made him in his image and likeness and breathe life into him go on
31,32,2022-01-01 23:52:59+00:00,@OkwasiaBiNti I won't let you down,i wont let you down
32,33,2022-01-01 23:52:51+00:00,Fire k) weh kyi kakra,fire k weh kyi kakra
33,34,2022-01-01 23:52:01+00:00,Human Rights Twitter come inside,human rights twitter come inside
34,35,2022-01-01 23:51:57+00:00,@dat4renaboy Chale talk your mind eh ? 😩,chale talk your mind eh
35,36,2022-01-01 23:51:51+00:00,Feminists too login ebei,feminists too login ebei
36,37,2022-01-01 23:51:40+00:00,"Le seul et unique GOAT du rap galsen 💯💯
Bagn bagn beug https://t.co/BMN04CYZ6H",le seul et unique goat du rap galsen bagn bagn beug
37,38,2022-01-01 23:51:37+00:00,@Mhaame_Jayne @broken_heart490 Just saw the mistake ooh💔😂😂,just saw the mistake ooh
38,39,2022-01-01 23:51:26+00:00,"We chop the Xmas and new yr finish biaa .
Now let's endure the 47 days in January",we chop the xmas and new yr finish biaa now lets endure the 47 days in january
39,40,2022-01-01 23:51:13+00:00,@shattawalegh Herrrr Wale get mouth Oo Ei. You @burnaboy come stand your face rydee you go berg for help,herrrr wale get mouth oo ei you come stand your face rydee you go berg for help
40,41,2022-01-01 23:50:43+00:00,What in the name of modern day slavery is this https://t.co/BCMKAiQDgY,what in the name of modern day slavery is this
41,42,2022-01-01 23:50:26+00:00,@quame_age @Paula_White Amen 🔥🔥🔥,amen
42,43,2022-01-01 23:50:10+00:00,@Alianagolden 😂😂😂😂😂😂😂😂,
43,44,2022-01-01 23:50:05+00:00,@broken_heart490 @Mhaame_Jayne Ano see npo 💔😂😂😂,ano see npo
44,45,2022-01-01 23:49:54+00:00,@Mhaame_Jayne @broken_heart490 Defending *^,defending
45,46,2022-01-01 23:49:53+00:00,"@shattawalegh The question mark after the ""ur modaaa"" nu be what?.. go school, you say no!",the question mark after the ur modaaa nu be what go school you say no
46,47,2022-01-01 23:49:18+00:00,@ksheldongh My guy stop the nonsense and preach sense,my guy stop the nonsense and preach sense
47,48,2022-01-01 23:49:14+00:00,He say hello good evening aboa 😂😂,he say hello good evening aboa
48,49,2022-01-01 23:49:13+00:00,@shattawalegh @burnaboy Oh God,oh god
49,50,2022-01-01 23:49:03+00:00,@shattawalegh Reminder😁,reminder
50,51,2022-01-01 23:49:02+00:00,Interesting https://t.co/E2x7oxmHhu,interesting
51,52,2022-01-01 23:48:54+00:00,Once at a time. https://t.co/rxbCTTUlix,once at a time
52,53,2022-01-01 23:48:39+00:00,"At this point we’re repeating ourselves and them niggas wanna stay stupid, so let them lmao https://t.co/WGp6SKBIOl",at this point were repeating ourselves and them niggas wanna stay stupid so let them lmao
53,54,2022-01-01 23:48:26+00:00,"@ksheldongh If Medical tell u to put Ur properties on the table hope u can do same or,.........",if medical tell u to put ur properties on the table hope u can do same or
54,55,2022-01-01 23:48:23+00:00,@shattawalegh Diss am then stop that pussy pussy thing nu can you see how he dey diss you aah 😡,diss am then stop that pussy pussy thing nu can you see how he dey diss you aah
55,56,2022-01-01 23:48:18+00:00,@audrey_quist ❤️,
56,57,2022-01-01 23:48:08+00:00,Eeeewww https://t.co/sKIPwMOAGy,eeeewww
57,58,2022-01-01 23:48:00+00:00,Kwabena di accent no wc yenni!! Aboozigi,kwabena di accent no wc yenni aboozigi
58,59,2022-01-01 23:47:42+00:00,Waited till every bottle of water in this house finished 🤦🏾‍♀️,waited till every bottle of water in this house finished
59,60,2022-01-01 23:47:39+00:00,Momo nyame..Locate me!🙏🏾🙌🏾,momo nyame locate me
60,61,2022-01-01 23:47:36+00:00,@dzidzorr Tit for tat,tit for tat
61,62,2022-01-01 23:47:33+00:00,"My team and iJust wrapped up our first two tours for 2022! 🤩

This year, we pray for strength to do better than last year. We did 44 group tours last year. Let’s see how many we can do this year. 🙏🏾 https://t.co/OuDm6uHNEG",my team and ijust wrapped up our first two tours for 2022 this year we pray for strength to do better than last year we did 44 group tours last year lets see how many we can do this year
62,63,2022-01-01 23:47:20+00:00,@Mzmyn 😊,
63,64,2022-01-01 23:46:40+00:00,Please we dont want peace we want vawulence . Thank you 🤝 https://t.co/lyZEpulaci,please we dont want peace we want vawulence thank you
64,65,2022-01-01 23:46:39+00:00,@missadeyemi https://t.co/4FK0r65vd1,
65,66,2022-01-01 23:46:37+00:00,Bondai is very overrated. But I love y’all.,bondai is very overrated but i love yall
