,id,date,rawContent,cleaned_content,english_relative_frequency
19,20,2022-01-01 15:10:21+00:00,One &amp; only Sali ❤️❤️ @ Chittagong https://t.co/UF5P71lhy6,one and only sali chittagong,0.8
37,38,2022-01-01 07:36:04+00:00,"Happy new year 2022 @ CEPZ, Chittagong Export Processing Zone https://t.co/TelCu5j59m",happy new year 2022 cepz chittagong export processing zone,0.875
38,39,2022-01-01 07:34:56+00:00,Happy New Year_2022 @ Chandgoan residential area https://t.co/RSJqCsEhzt,happy new year2022 chandgoan residential area,0.8
54,111,2022-01-02 03:09:21+00:00,"Just posted a photo @ Battali, Chittagong, Bangladesh https://t.co/uqXk1WObvY",just posted a photo battali chittagong bangladesh,0.8571428571428571
16,131,2022-01-03 07:15:03+00:00,"20th Establishment Anniversary Celebration of Sri Sri GITAYON,Bandar, Chittagong, Bangladesh https://t.co/EXFcOG903h",20th establishment anniversary celebration of sri sri gitayonbandar chittagong bangladesh,0.8888888888888888
25,140,2022-01-03 03:22:19+00:00,"Cosmos is Coin of the Day on LunarCrush!

Galaxy Score™ 61/100
AltRank™ 358/3418
Price $34.63  -3.02%  

View real-time Cosmos metrics at https://t.co/3w46XNdyav https://t.co/3w46XNdyav",cosmos is coin of the day on lunarcrush galaxy score 61100 altrank 3583418 price 34 63 3 02 view real time cosmos metrics at,0.8888888888888888
11,152,2022-01-04 13:55:01+00:00,"Just posted a photo @ CEPZ, Chittagong Export Processing Zone https://t.co/5AP32CSITl",just posted a photo cepz chittagong export processing zone,0.8888888888888888
14,184,2022-01-05 10:55:49+00:00,"বাংলাদেশ ছাত্রলীগের ৭৪তম প্রতিষ্ঠাবার্ষিকীতে 
ওমরগনি এম.ই.এস কলেজ ছাত্রলীগ ও ছাত্র সংসদের আনন্দ র‍্যালি।

দৈনিক পূর্বদেশ @ Omar Gani MES University and College, Chittagong https://t.co/4TrXeR8c7c",omar gani mes university and college chittagong,0.8571428571428571
16,186,2022-01-05 09:52:36+00:00,Just posted a photo @ Aronnok Holiday Resort https://t.co/AU4akYiH1L,just posted a photo aronnok holiday resort,0.8571428571428571
6,212,2022-01-06 17:11:25+00:00,Just posted a photo @ Biplob Uddan joy Bangla Six Point https://t.co/TnhGwY5Z8j,just posted a photo biplob uddan joy bangla six point,0.8
8,228,2022-01-07 12:04:40+00:00,"A Part of CU Runners team.. @ Potenga Sea Beach, Chattogram https://t.co/WYM6zKBHgi",a part of cu runners team potenga sea beach chattogram,0.8
17,237,2022-01-07 08:31:10+00:00,"As you can see i'm not finished. I'm a Finisher. @ Potenga Sea Beach, Chattogram https://t.co/jyZsroJCqn",as you can see im not finished im a finisher potenga sea beach chattogram,0.8571428571428571
28,248,2022-01-07 02:43:56+00:00,"“Every problem is a gift—without problems we would not grow.” – Anthony Robbins @ Custom House, Chattogram https://t.co/juQesWhbjX",every problem is a giftwithout problems we would not grow anthony robbins custom house chattogram,0.8666666666666667
8,258,2022-01-08 18:06:34+00:00,"Happy Birthday Brother @dihan_07 @ Halishahar, Chittagong - হালিশহর, চট্টগ্রাম https://t.co/wcdu7n2tLA",happy birthday brother halishahar chittagong,0.8
24,274,2022-01-08 09:41:49+00:00,Just posted a photo @ Rangamati Lake https://t.co/l8xrkEduiJ,just posted a photo rangamati lake,0.8333333333333334
20,303,2022-01-09 02:03:10+00:00,Just posted a photo @ Patenga Sea Beach https://t.co/1OBkhQJoYn,just posted a photo patenga sea beach,0.8571428571428571
34,339,2022-01-10 11:54:57+00:00,Just posted a photo @ Vatiary Sunset Point https://t.co/6OqOxdUfny,just posted a photo vatiary sunset point,0.8571428571428571
5,373,2022-01-12 19:46:06+00:00,Goal. Luke De Jong scores and Equalises.,goal luke de jong scores and equalises,0.8571428571428571
2,400,2022-01-13 16:24:57+00:00,Just posted a photo @ OnlyWish https://t.co/tV8I8H93l0,just posted a photo onlywish,0.8
14,421,2022-01-14 08:00:17+00:00,The safest room for any kids when its Mamuh put them around his soulder! 💪❤️ @ Shah Amanat International Airport https://t.co/Eq7Woe4ho7,the safest room for any kids when its mamuh put them around his soulder shah amanat international airport,0.8333333333333334
