,id,date,rawContent,cleaned_content
0,1,2022-01-01 23:59:56+00:00,"@usergly Happy new year, gly! 💗",happy new year gly
1,2,2022-01-01 23:58:22+00:00,"Solemnity of the Epiphany of the Lord (@ Christ the King Parish in Quezon City, Metro Manila) https://t.co/25xHRkgnDc",solemnity of the epiphany of the lord christ the king parish in quezon city metro manila
2,3,2022-01-01 23:57:34+00:00,Di naman ako naniniwala sa horoscope pero parang oo na https://t.co/OmOk3MJPzJ,di naman ako naniniwala sa horoscope pero parang oo na
3,4,2022-01-01 23:57:22+00:00,Self reminder https://t.co/v40AwnBIHd,self reminder
4,5,2022-01-01 23:56:13+00:00,Lil’ Papi is serving 🥵,lil papi is serving
5,6,2022-01-01 23:56:12+00:00,Happy New Year from my family to yours. Let’s PUSH even harder this 2022. Cheers everyone. xx 💖 @ BF Homes Parañaque https://t.co/3mOgKEBwb5,happy new year from my family to yours lets push even harder this 2022 cheers everyone xx bf homes parañaque
6,7,2022-01-01 23:55:12+00:00,Dasurb!! https://t.co/osRfw3hbA9,dasurb
7,8,2022-01-01 23:55:07+00:00,tulog dapat ako ngayon eh 🥲,tulog dapat ako ngayon eh
8,9,2022-01-01 23:54:57+00:00,@failedabortionz Uu,uu
9,10,2022-01-01 23:54:52+00:00,Day 1: AM DUTY Internal Medicine 🙏🏻😅,day 1 am duty internal medicine
10,11,2022-01-01 23:52:42+00:00,"Boom panis, amoy lockdown nanaman! https://t.co/djkb5m3yIc",boom panis amoy lockdown nanaman
11,12,2022-01-01 23:52:00+00:00,"@MaestroJunedel Wahaha amoy walang Spiderman.

Tara nuod nalang tayu mula sa torrent? May WebCam torrent na. tiyagain nalang ung umiiyak na baby sa BG at yung mga anino ng tao na dumadaan sa harap. https://t.co/KcIlHuqxeE",wahaha amoy walang spiderman tara nuod nalang tayu mula sa torrent may webcam torrent na tiyagain nalang ung umiiyak na baby sa bg at yung mga anino ng tao na dumadaan sa harap
12,13,2022-01-01 23:51:58+00:00,@KathleenMaeNiu thanks kumarsss!,thanks kumarsss
