,id,date,rawContent,cleaned_content,english_relative_frequency
10,11,2022-01-01 23:52:42+00:00,"Boom panis, amoy lockdown nanaman! https://t.co/djkb5m3yIc",boom panis amoy lockdown nanaman,0.6
26,27,2022-01-01 23:43:21+00:00,@simp4samly_ @sirwil75 @s1OPBB @s10PBB Tama yan. Pakisabi kay sassy. Basahin niya mga tweet ko. Dami ko reply sa tweet niya .,tama yan pakisabi kay sassy basahin niya mga tweet ko dami ko reply sa tweet niya,0.625
47,48,2022-01-01 23:34:32+00:00,Work na agad.,work na agad,0.6666666666666666
64,65,2022-01-01 23:28:56+00:00,Ang swerte ng 2022 nagkasakit pa nga ! 😞,ang swerte ng 2022 nagkasakit pa nga,0.6666666666666666
65,66,2022-01-01 23:28:27+00:00,umagang kay ganda,umagang kay ganda,0.6666666666666666
76,77,2022-01-01 23:23:19+00:00,"Jowa lang po ngayong 2022 please! 🥺
LOL",jowa lang po ngayong 2022 please lol,0.6666666666666666
83,84,2022-01-01 23:21:29+00:00,At may bagong process na naman na itratrain ka . 🤣🤣🤣,at may bagong process na naman na itratrain ka,0.6666666666666666
88,89,2022-01-01 23:18:50+00:00,wag sana lagnatin😪,wag sana lagnatin,0.6666666666666666
91,92,2022-01-01 23:18:21+00:00,ang bigat ng ulo ko,ang bigat ng ulo ko,0.6
8,109,2022-01-02 23:57:56+00:00,GAGOOOO AKALA KO NAG DROP YUNG ENGAGEMENT NG CAMPAIGN PAGE NAMIN 😭💖 HUHU GOODMORNING!!,gagoooo akala ko nag drop yung engagement ng campaign page namin huhu goodmorning,0.6923076923076923
11,112,2022-01-02 23:57:27+00:00,@jaysarthou Good morning 🌄☕ tukayo,good morning tukayo,0.6666666666666666
22,123,2022-01-02 23:54:04+00:00,"@jshnplyxoxo Hoy nandito ka na ba, bakla?",hoy nandito ka na ba bakla,0.6666666666666666
33,134,2022-01-02 23:52:34+00:00,@whatsup_geo Yawa yung about sa author! HAHAHAHA,yawa yung about sa author hahahaha,0.6666666666666666
39,140,2022-01-02 23:51:59+00:00,Nalaglag yung 500 ko kagabe. Sinabi ko kay Mommy. Wag ko na daw isipin yon pero eto ako parang ulol na isip ng isip.,nalaglag yung 500 ko kagabe sinabi ko kay mommy wag ko na daw isipin yon pero eto ako parang ulol na isip ng isip,0.6086956521739131
41,142,2022-01-02 23:51:41+00:00,Yung “what? Why? Why?” Na nga linya mo pero napressure ka pa rin kay #dubkingjules ahahahha! #tiktok #blooppers https://t.co/e9PYmdEJwr,yung what why why na nga linya mo pero napressure ka pa rin kay ahahahha,0.6666666666666666
